"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration1(Surveillance-pop)"
"08/12/2022 13:48:16:386 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"59","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","25.82","3","91.8","150","535","-385","190","0","0","3.716853932584222","0"
"65","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","27.779999999999998","0","91.22598870056497","177","535","-358","269","0","0","13.275555555555373","2"
"60","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","28.83","3","92.14146341463415","205","535","-330","370","0","0","3.0111111111110658","0"
"49","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","29.189999999999998","3","91.1340206185567","194","535","-341","281","0","0","5.670454545454488","0"
"11","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","27.43","1","90.98395721925134","187","535","-348","297","7","0","9.268888888888794","0"
"15","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","27.87","1","91.27586206896552","174","535","-361","295","6","0","9.885714285714188","0"
"39","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","27.41","2","91.43243243243244","185","535","-350","277","2","0","8.79780219780213","0"
"14","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","29.709999999999997","4","91.31481481481481","216","535","-319","375","0","0","10.34285714285701","0"
"66","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","26.700000000000003","1","91.20370370370371","162","535","-373","204","1","0","7.888172043010654","1"
"54","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","29.04","1","91.275","200","535","-335","367","2","0","5.056818181818086","0"
"42","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","26.669999999999998","3","91.76530612244898","196","535","-339","304","5","0","7.339130434782526","0"
"55","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","23.56","3","91.8409090909091","132","535","-403","202","0","0","3.9195652173912614","0"
"53","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","28.000000000000004","1","91.73410404624278","173","535","-362","233","0","0","3.683870967741898","0"
"63","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","26.44","0","91.79310344827586","174","535","-361","280","6","0","12.004395604395516","1"
"71","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","26.44","2","91.54255319148936","188","535","-347","269","0","0","5.21935483870963","0"
"3","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","26.029999999999998","1","91.49032258064516","155","535","-380","206","3","0","10.785106382978586","3"
"16","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","27.68","2","91.5273631840796","201","535","-334","360","3","0","8.032258064516057","0"
"48","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","25.82","1","91.5886075949367","158","535","-377","214","3","0","5.767032967032884","1"
"61","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","29.21","0","91.18357487922705","207","535","-328","341","0","0","11.906382978723292","3"
"31","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","29.74","0","91.54922279792746","193","535","-342","294","1","0","12.433684210526168","1"
"38","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","21.82","0","90.96116504854369","103","535","-432","103","6","0","9.608247422680298","2"
"62","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","26.32","0","92.12941176470588","170","535","-365","217","1","0","12.218947368420936","0"
"28","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","24.240000000000002","2","91.34042553191489","141","535","-394","216","11","0","6.533333333333258","1"
"56","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","25.5","5","91.75886524822695","141","535","-394","157","0","0","4.211111111111049","0"
"18","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","25.86","1","91.69047619047619","168","535","-367","289","2","0","8.37446808510628","0"
"12","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","24.58","0","91.2781954887218","133","535","-402","141","5","0","10.118279569892321","1"
"47","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","24.05","3","91.23489932885906","149","535","-386","154","0","0","5.795555555555489","0"
