evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
140,515,74.39597763598692,0.6736806846946215,1.3863057572516164,30.0,56.00527659869686,73.5036493473138,-5312.0,-50910.32639999428,1,"[0.6736806846946215]","[91.93]","[74.39597763598692]","[30.0]","[1.3863057572516164]","[5.0]","[56.00527659869686]","[false]","[117.0]","[-293124058]","[5.0]","[true]","[41.0]","[50910.32639999428]","[false]","[8.0]","[35.0]","[5312]","[8396.0]","[40.0]","[73.5036493473138]","[true]","[10.0]","[280.0]"
140,515,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4461.0,-53666.479199994,3,"[0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25]","[47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false]","[281.0,287.0,296.0]","[1775144375,-1316938213,-349328432]","[5.0,5.0,5.0]","[true,true,true]","[37.0,31.0,32.0]","[52457.798399994164,53999.761599993915,53666.479199994]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[4461,4801,4386]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true]","[10.0,10.0,10.0]","[267.0,278.0,268.0]"
140,515,73.41773467340235,0.8,3.982186586784871,5.0,62.09449176494129,72.30083507243094,-5159.0,-51997.06239999414,1,"[0.8]","[91.51]","[73.41773467340235]","[5.0]","[3.982186586784871]","[5.0]","[62.09449176494129]","[false]","[120.0]","[443498249]","[5.0]","[true]","[28.0]","[51997.06239999414]","[false]","[8.0]","[35.0]","[5159]","[8396.0]","[40.0]","[72.30083507243094]","[true]","[10.0]","[281.0]"
140,515,71.98862059292958,0.7323093325268808,4.149546677330113,18.87037636212463,71.70231324849237,72.29021823762398,-5112.0,-52860.31639999402,2,"[0.7323093325268808,0.7323093325268808]","[92.49000000000001,91.47]","[71.98862059292958,71.98862059292958]","[18.87037636212463,18.87037636212463]","[4.149546677330113,4.149546677330113]","[5.0,5.0]","[71.70231324849237,71.70231324849237]","[false,false]","[156.0,137.0]","[1599695798,531023578]","[5.0,5.0]","[true,true]","[39.0,37.0]","[53237.29359999392,52483.33919999412]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5059,5165]","[8396.0,8396.0]","[40.0,40.0]","[72.29021823762398,72.29021823762398]","[true,true]","[10.0,10.0]","[277.0,278.0]"
140,515,64.99675914814235,0.5418728771526187,1.5942861150747767,21.979546289734436,54.92264686096961,78.16546559194279,-4599.0,-51921.19119999434,3,"[0.5418728771526187,0.5418728771526187,0.5418728771526187]","[82.69999999999999,92.53,88.31]","[64.99675914814235,64.99675914814235,64.99675914814235]","[21.979546289734436,21.979546289734436,21.979546289734436]","[1.5942861150747767,1.5942861150747767,1.5942861150747767]","[5.0,5.0,5.0]","[54.92264686096961,54.92264686096961,54.92264686096961]","[false,false,false]","[1158.0,172.0,209.0]","[-1715840715,1202623680,-83013352]","[5.0,5.0,5.0]","[true,true,true]","[35.0,31.0,25.0]","[50471.12479999498,52002.070399994125,51921.19119999434]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[2697,5087,4599]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[78.16546559194279,78.16546559194279,78.16546559194279]","[true,true,true]","[10.0,10.0,10.0]","[261.0,278.0,279.0]"
140,515,76.44653265389411,0.4111832423149606,4.039054957349818,23.45996470530647,77.9746108841961,37.93260942649159,-4531.0,-52253.22159999411,3,"[0.4111832423149606,0.4111832423149606,0.4111832423149606]","[90.52,89.71000000000001,90.75999999999999]","[76.44653265389411,76.44653265389411,76.44653265389411]","[23.45996470530647,23.45996470530647,23.45996470530647]","[4.039054957349818,4.039054957349818,4.039054957349818]","[5.0,5.0,5.0]","[77.9746108841961,77.9746108841961,77.9746108841961]","[false,false,false]","[448.0,532.0,483.0]","[1583399225,-1875212275,1613245348]","[5.0,5.0,5.0]","[true,true,true]","[44.0,39.0,29.0]","[52961.60319999394,51815.7727999943,52253.22159999411]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[4633,4518,4531]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[37.93260942649159,37.93260942649159,37.93260942649159]","[true,true,true]","[10.0,10.0,10.0]","[267.0,265.0,271.0]"
140,515,47.29548713620136,0.8,3.4709348237140123,5.0,66.22473187950769,75.80647332290746,-4858.0,-53645.946399994034,1,"[0.8]","[89.23]","[47.29548713620136]","[5.0]","[3.4709348237140123]","[5.0]","[66.22473187950769]","[false]","[246.0]","[876164846]","[5.0]","[true]","[27.0]","[53645.946399994034]","[false]","[8.0]","[35.0]","[4858]","[8396.0]","[40.0]","[75.80647332290746]","[true]","[10.0]","[269.0]"
140,515,74.27873861404592,0.5798777466932469,4.397065197322642,7.95708649816257,56.91741507141478,63.35941641228071,-5132.0,-52165.581599994046,1,"[0.5798777466932469]","[91.47]","[74.27873861404592]","[7.95708649816257]","[4.397065197322642]","[5.0]","[56.91741507141478]","[false]","[194.0]","[7208975]","[5.0]","[true]","[24.0]","[52165.581599994046]","[false]","[8.0]","[35.0]","[5132]","[8396.0]","[40.0]","[63.35941641228071]","[true]","[10.0]","[282.0]"
140,515,62.99847713885461,0.3131790509038367,4.503717021025466,28.436886926626478,43.69136275503323,42.67972074919481,-3639.0,-51944.47839999449,4,"[0.3131790509038367,0.3131790509038367,0.3131790509038367,0.3131790509038367]","[85.77,89.02,87.89,86.55000000000001]","[62.99847713885461,62.99847713885461,62.99847713885461,62.99847713885461]","[28.436886926626478,28.436886926626478,28.436886926626478,28.436886926626478]","[4.503717021025466,4.503717021025466,4.503717021025466,4.503717021025466]","[5.0,5.0,5.0,5.0]","[43.69136275503323,43.69136275503323,43.69136275503323,43.69136275503323]","[false,false,false,false]","[729.0,776.0,734.0,1018.0]","[1957031701,-32924924,-665170604,1810310232]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[37.0,37.0,39.0,36.0]","[51265.143199994585,52623.813599994406,52821.12879999418,50737.299999994735]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[3641,3783,3637,3314]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[42.67972074919481,42.67972074919481,42.67972074919481,42.67972074919481]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[261.0,259.0,254.0,253.0]"
140,515,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4995.0,-51772.20319999423,5,"[0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251]","[92.28,89.84,90.88000000000001,89.66,92.08]","[53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214]","[5.0,5.0,5.0,5.0,5.0]","[67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067]","[false,false,false,false,false]","[189.0,188.0,191.0,179.0,166.0]","[1409866607,131671192,-1587881289,1339369149,-437746739]","[5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true]","[29.0,39.0,32.0,29.0,37.0]","[51849.32639999421,52836.90399999412,51772.20319999423,51583.151199994405,51573.38559999411]","[false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0]","[5098,4666,4995,4961,5198]","[8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0]","[79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929]","[true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0]","[275.0,268.0,273.0,267.0,276.0]"
