evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
60,236,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4882.0,-52343.115199994165,2,"[0.7899200192966251,0.7899200192966251]","[92.28,89.84]","[53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214]","[5.0,5.0]","[67.55330603268067,67.55330603268067]","[false,false]","[189.0,188.0]","[1409866607,131671192]","[5.0,5.0]","[true,true]","[29.0,39.0]","[51849.32639999421,52836.90399999412]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5098,4666]","[8396.0,8396.0]","[40.0,40.0]","[79.29928503756929,79.29928503756929]","[true,true]","[10.0,10.0]","[275.0,268.0]"
60,236,66.69836196706228,0.20717876007159275,2.9899220405516163,21.012947971962312,43.74453684464298,39.88263070330395,-724.5,-46765.58039999729,4,"[0.20717876007159275,0.20717876007159275,0.20717876007159275,0.20717876007159275]","[27.51,56.45,43.309999999999995,52.26]","[66.69836196706228,66.69836196706228,66.69836196706228,66.69836196706228]","[21.012947971962312,21.012947971962312,21.012947971962312,21.012947971962312]","[2.9899220405516163,2.9899220405516163,2.9899220405516163,2.9899220405516163]","[5.0,5.0,5.0,5.0]","[43.74453684464298,43.74453684464298,43.74453684464298,43.74453684464298]","[false,false,false,false]","[1989.0,1464.0,1579.0,1573.0]","[1946749574,948843554,1771387108,115531889]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[53.0,40.0,38.0,49.0]","[41877.396799998074,48526.51839999695,45826.70559999755,47704.455199997035]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[185,1057,549,900]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[39.88263070330395,39.88263070330395,39.88263070330395,39.88263070330395]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[193.0,211.0,217.0,235.0]"
60,236,31.079136015593015,0.22572285064911968,3.6903815084060057,8.320682412330894,69.79614861698101,34.26864154760905,-1956.0,-50097.27759999536,3,"[0.22572285064911968,0.22572285064911968,0.22572285064911968]","[78.89,75.6,74.39]","[31.079136015593015,31.079136015593015,31.079136015593015]","[8.320682412330894,8.320682412330894,8.320682412330894]","[3.6903815084060057,3.6903815084060057,3.6903815084060057]","[5.0,5.0,5.0]","[69.79614861698101,69.79614861698101,69.79614861698101]","[false,false,false]","[1300.0,1390.0,1308.0]","[1085105905,961755021,-1369672640]","[5.0,5.0,5.0]","[true,true,true]","[33.0,29.0,39.0]","[50709.00479999502,50097.27759999536,49883.68639999556]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[2199,1956,1786]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[34.26864154760905,34.26864154760905,34.26864154760905]","[true,true,true]","[10.0,10.0,10.0]","[232.0,238.0,239.0]"
60,236,74.27873861404592,0.5798777466932469,4.397065197322642,7.95708649816257,56.91741507141478,63.35941641228071,-5132.0,-52165.581599994046,1,"[0.5798777466932469]","[91.47]","[74.27873861404592]","[7.95708649816257]","[4.397065197322642]","[5.0]","[56.91741507141478]","[false]","[194.0]","[7208975]","[5.0]","[true]","[24.0]","[52165.581599994046]","[false]","[8.0]","[35.0]","[5132]","[8396.0]","[40.0]","[63.35941641228071]","[true]","[10.0]","[282.0]"
60,236,75.2872700447447,0.32165954439789446,3.5588126561210993,22.10860503761348,76.82342422554123,61.73864798346143,-4656.0,-52933.057599994085,1,"[0.32165954439789446]","[90.22]","[75.2872700447447]","[22.10860503761348]","[3.5588126561210993]","[5.0]","[76.82342422554123]","[false]","[305.0]","[-1449163467]","[5.0]","[true]","[31.0]","[52933.057599994085]","[false]","[8.0]","[35.0]","[4656]","[8396.0]","[40.0]","[61.73864798346143]","[true]","[10.0]","[278.0]"
60,236,73.5997024769103,0.5984787969190817,1.2429171681735145,21.45184102317232,78.43182750599662,74.79427400922664,-5038.0,-52520.64879999402,1,"[0.5984787969190817]","[90.44]","[73.5997024769103]","[21.45184102317232]","[1.2429171681735145]","[5.0]","[78.43182750599662]","[false]","[143.0]","[-1915032124]","[5.0]","[true]","[28.0]","[52520.64879999402]","[false]","[8.0]","[35.0]","[5038]","[8396.0]","[40.0]","[74.79427400922664]","[true]","[10.0]","[287.0]"
60,236,73.59970247691028,0.5984787969190817,1.2429171681735145,21.451841023172317,78.43182750599661,74.79428124426055,-5006.0,-52835.151199993976,1,"[0.5984787969190817]","[92.12]","[73.59970247691028]","[21.451841023172317]","[1.2429171681735145]","[5.0]","[78.43182750599661]","[false]","[155.0]","[955026692]","[5.0]","[true]","[33.0]","[52835.151199993976]","[false]","[8.0]","[35.0]","[5006]","[8396.0]","[40.0]","[74.79428124426055]","[true]","[10.0]","[278.0]"
60,236,57.22137701165928,0.6146032426315635,4.662812179636662,16.3977478861214,20.511257512580848,69.05124624098207,-2322.0,-52983.13759999453,1,"[0.6146032426315635]","[83.03]","[57.22137701165928]","[16.3977478861214]","[4.662812179636662]","[5.0]","[20.511257512580848]","[false]","[1289.0]","[-1329054715]","[5.0]","[true]","[31.0]","[52983.13759999453]","[false]","[8.0]","[35.0]","[2322]","[8396.0]","[40.0]","[69.05124624098207]","[true]","[10.0]","[256.0]"
