evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
20,80,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4882.0,-52343.115199994165,2,"[0.7899200192966251,0.7899200192966251]","[92.28,89.84]","[53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214]","[5.0,5.0]","[67.55330603268067,67.55330603268067]","[false,false]","[189.0,188.0]","[1409866607,131671192]","[5.0,5.0]","[true,true]","[29.0,39.0]","[51849.32639999421,52836.90399999412]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5098,4666]","[8396.0,8396.0]","[40.0,40.0]","[79.29928503756929,79.29928503756929]","[true,true]","[10.0,10.0]","[275.0,268.0]"
20,80,57.543310740012366,0.3802954037017289,2.0431835964655294,22.544293364294607,70.39001434963383,48.91637107192891,-4290.0,-52781.064799994245,1,"[0.3802954037017289]","[88.87]","[57.543310740012366]","[22.544293364294607]","[2.0431835964655294]","[5.0]","[70.39001434963383]","[false]","[480.0]","[-1479935356]","[5.0]","[true]","[29.0]","[52781.064799994245]","[false]","[8.0]","[35.0]","[4290]","[8396.0]","[40.0]","[48.91637107192891]","[true]","[10.0]","[269.0]"
20,80,53.53303471638304,0.6103102949444605,2.464660860739264,20.689093450732862,44.48281068285533,31.476976480621683,-194.0,-43257.60159999834,3,"[0.6103102949444605,0.6103102949444605,0.6103102949444605]","[26.8,29.13,30.220000000000002]","[53.53303471638304,53.53303471638304,53.53303471638304]","[20.689093450732862,20.689093450732862,20.689093450732862]","[2.464660860739264,2.464660860739264,2.464660860739264]","[5.0,5.0,5.0]","[44.48281068285533,44.48281068285533,44.48281068285533]","[false,false,false]","[2490.0,3018.0,2574.0]","[-1920012269,2080540483,91590158]","[5.0,5.0,5.0]","[true,true,true]","[49.0,49.0,46.0]","[43306.930399998266,42953.36559999809,43257.60159999834]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[194,181,224]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[31.476976480621683,31.476976480621683,31.476976480621683]","[true,true,true]","[10.0,10.0,10.0]","[167.0,172.0,166.0]"
20,80,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4461.0,-52457.798399994164,1,"[0.7685155383044755]","[88.62]","[47.88365679304892]","[25.769803324653907]","[2.7150647259452514]","[5.0]","[62.68375233717723]","[false]","[281.0]","[1775144375]","[5.0]","[true]","[37.0]","[52457.798399994164]","[false]","[8.0]","[35.0]","[4461]","[8396.0]","[40.0]","[73.39752652415567]","[true]","[10.0]","[267.0]"
