evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
740,2085,53.36783418014656,0.7959046594151777,3.635200600307796,21.96899059052751,63.8395795999115,75.09482153554015,-4972.0,-53883.57599999388,1,"[0.7959046594151777]","[90.2]","[53.36783418014656]","[21.96899059052751]","[3.635200600307796]","[5.0]","[63.8395795999115]","[false]","[187.0]","[-1479560078]","[5.0]","[true]","[33.0]","[53883.57599999388]","[false]","[8.0]","[35.0]","[4972]","[8396.0]","[40.0]","[75.09482153554015]","[true]","[10.0]","[272.0]"
740,2085,53.11264228142558,0.8,3.5376208370315947,21.972134324282326,63.45781385805842,75.01169244610827,-4986.0,-52085.20319999425,9,"[0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8]","[91.61,91.33,89.86,88.03999999999999,92.05,90.92,91.35,91.28,90.46]","[53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558]","[21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326]","[3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842]","[false,false,false,false,false,false,false,false,false]","[229.0,195.0,194.0,186.0,231.0,185.0,219.0,197.0,202.0]","[-1909925419,1267480063,-312914890,67142144,241601821,150049363,-266679702,401128478,-1556024608]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true,true]","[31.0,24.0,40.0,35.0,35.0,42.0,33.0,27.0,22.0]","[54215.85679999376,51966.51359999423,52587.004799994036,50937.619999994655,52086.20479999409,50874.26879999436,51371.563199994205,52085.20319999425,52701.93839999409]","[false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4822,5011,5014,4854,4986,5068,4900,4920,5019]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827]","[true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[280.0,275.0,279.0,273.0,279.0,267.0,274.0,270.0,271.0]"
740,2085,74.73209232207421,0.5676689077395316,1.4014170806248711,21.703039686650623,76.44780814395452,73.61558867782227,-5416.0,-52290.53119999405,1,"[0.5676689077395316]","[92.53]","[74.73209232207421]","[21.703039686650623]","[1.4014170806248711]","[5.0]","[76.44780814395452]","[false]","[156.0]","[1699187350]","[5.0]","[true]","[24.0]","[52290.53119999405]","[false]","[8.0]","[35.0]","[5416]","[8396.0]","[40.0]","[73.61558867782227]","[true]","[10.0]","[278.0]"
740,2085,60.54039523811593,0.7907434246832357,3.5994355805572855,20.449321074986187,66.49465098899103,76.87362326213699,-5139.0,-53717.31039999386,1,"[0.7907434246832357]","[91.99000000000001]","[60.54039523811593]","[20.449321074986187]","[3.5994355805572855]","[5.0]","[66.49465098899103]","[false]","[134.0]","[780870130]","[5.0]","[true]","[42.0]","[53717.31039999386]","[false]","[8.0]","[35.0]","[5139]","[8396.0]","[40.0]","[76.87362326213699]","[true]","[10.0]","[284.0]"
740,2085,74.83533092113055,0.7792970111402409,4.425719848891736,5.0,63.767953624939885,77.89298932956865,-5374.0,-53622.90959999387,1,"[0.7792970111402409]","[92.67999999999999]","[74.83533092113055]","[5.0]","[4.425719848891736]","[5.0]","[63.767953624939885]","[false]","[115.0]","[-2123211201]","[5.0]","[true]","[25.0]","[53622.90959999387]","[false]","[8.0]","[35.0]","[5374]","[8396.0]","[40.0]","[77.89298932956865]","[true]","[10.0]","[277.0]"
740,2085,80.0,0.7019406815199203,4.452632602585744,5.8038171543858,63.1514266136074,80.0,-5185.5,-53019.06999999395,2,"[0.7019406815199203,0.7019406815199203]","[91.64,91.14]","[80.0,80.0]","[5.8038171543858,5.8038171543858]","[4.452632602585744,4.452632602585744]","[5.0,5.0]","[63.1514266136074,63.1514266136074]","[false,false]","[84.0,98.0]","[-408025458,-188401661]","[5.0,5.0]","[true,true]","[26.0,29.0]","[53640.687999993796,52397.45199999411]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5220,5151]","[8396.0,8396.0]","[40.0,40.0]","[80.0,80.0]","[true,true]","[10.0,10.0]","[285.0,280.0]"
740,2085,76.55887716165263,0.7062192719382188,4.718684130873767,5.0,66.30814522158661,80.0,-5373.5,-52269.74799999404,2,"[0.7062192719382188,0.7062192719382188]","[92.4,93.96]","[76.55887716165263,76.55887716165263]","[5.0,5.0]","[4.718684130873767,4.718684130873767]","[5.0,5.0]","[66.30814522158661,66.30814522158661]","[false,false]","[93.0,113.0]","[-1433177541,1267283895]","[5.0,5.0]","[true,true]","[31.0,28.0]","[52348.12319999403,52191.372799994046]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5418,5329]","[8396.0,8396.0]","[40.0,40.0]","[80.0,80.0]","[true,true]","[10.0,10.0]","[279.0,284.0]"
740,2085,75.88106496367897,0.6638213248336062,4.912919197702686,8.77662276802992,67.65040830061275,73.67819584491953,-5161.0,-53713.05359999386,1,"[0.6638213248336062]","[90.83]","[75.88106496367897]","[8.77662276802992]","[4.912919197702686]","[5.0]","[67.65040830061275]","[false]","[145.0]","[-1276265962]","[5.0]","[true]","[32.0]","[53713.05359999386]","[false]","[8.0]","[35.0]","[5161]","[8396.0]","[40.0]","[73.67819584491953]","[true]","[10.0]","[280.0]"
740,2085,71.98862059292958,0.7323093325268808,4.149546677330113,18.87037636212463,71.70231324849237,72.29021823762398,-5165.0,-53237.29359999392,5,"[0.7323093325268808,0.7323093325268808,0.7323093325268808,0.7323093325268808,0.7323093325268808]","[92.49000000000001,91.47,90.98,92.25,92.4]","[71.98862059292958,71.98862059292958,71.98862059292958,71.98862059292958,71.98862059292958]","[18.87037636212463,18.87037636212463,18.87037636212463,18.87037636212463,18.87037636212463]","[4.149546677330113,4.149546677330113,4.149546677330113,4.149546677330113,4.149546677330113]","[5.0,5.0,5.0,5.0,5.0]","[71.70231324849237,71.70231324849237,71.70231324849237,71.70231324849237,71.70231324849237]","[false,false,false,false,false]","[156.0,137.0,162.0,150.0,133.0]","[1599695798,531023578,243807243,-1189265113,1352768818]","[5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true]","[39.0,37.0,24.0,19.0,38.0]","[53237.29359999392,52483.33919999412,53395.295999994036,52773.5527999941,53275.354399993936]","[false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0]","[5059,5165,5008,5252,5180]","[8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0]","[72.29021823762398,72.29021823762398,72.29021823762398,72.29021823762398,72.29021823762398]","[true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0]","[277.0,278.0,279.0,277.0,281.0]"
740,2085,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4754.0,-52581.9967999941,8,"[0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25,91.03,91.66,89.82,90.0,89.95]","[47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false,false,false,false,false,false]","[281.0,287.0,296.0,261.0,228.0,273.0,247.0,283.0]","[1775144375,-1316938213,-349328432,-1752363544,-1001348077,1294875794,99693079,971975291]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true]","[37.0,31.0,32.0,38.0,26.0,35.0,38.0,29.0]","[52457.798399994164,53999.761599993915,53666.479199994,52977.378399994086,52192.3743999941,52706.19519999403,52236.44479999426,51138.69119999427]","[false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4461,4801,4386,4819,4892,4707,4801,4419]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[267.0,278.0,268.0,267.0,273.0,268.0,270.0,278.0]"
