evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
280,953,74.39597763598692,0.6736806846946215,1.3863057572516164,30.0,56.00527659869686,73.5036493473138,-5312.0,-50910.32639999428,1,"[0.6736806846946215]","[91.93]","[74.39597763598692]","[30.0]","[1.3863057572516164]","[5.0]","[56.00527659869686]","[false]","[117.0]","[-293124058]","[5.0]","[true]","[41.0]","[50910.32639999428]","[false]","[8.0]","[35.0]","[5312]","[8396.0]","[40.0]","[73.5036493473138]","[true]","[10.0]","[280.0]"
280,953,73.27802611221816,0.5993685619648286,4.950809554507574,6.700821530341532,63.892341150138044,78.79279920502943,-5076.0,-53791.67919999389,1,"[0.5993685619648286]","[91.38]","[73.27802611221816]","[6.700821530341532]","[4.950809554507574]","[5.0]","[63.892341150138044]","[false]","[143.0]","[404137686]","[5.0]","[true]","[33.0]","[53791.67919999389]","[false]","[8.0]","[35.0]","[5076]","[8396.0]","[40.0]","[78.79279920502943]","[true]","[10.0]","[271.0]"
280,953,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4978.0,-51810.76479999421,6,"[0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251,0.7899200192966251]","[92.28,89.84,90.88000000000001,89.66,92.08,90.2]","[53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214,3.6449081932127214]","[5.0,5.0,5.0,5.0,5.0,5.0]","[67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067,67.55330603268067]","[false,false,false,false,false,false]","[189.0,188.0,191.0,179.0,166.0,162.0]","[1409866607,131671192,-1587881289,1339369149,-437746739,1088022091]","[5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true]","[29.0,39.0,32.0,29.0,37.0,33.0]","[51849.32639999421,52836.90399999412,51772.20319999423,51583.151199994405,51573.38559999411,52532.16719999417]","[false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0]","[5098,4666,4995,4961,5198,4788]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0]","[79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929,79.29928503756929]","[true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0]","[275.0,268.0,273.0,267.0,276.0,273.0]"
280,953,78.38305875912326,0.6147000894362415,4.862233652766516,5.0,63.829963374951305,73.9619362765487,-5221.0,-53627.41679999389,1,"[0.6147000894362415]","[92.67999999999999]","[78.38305875912326]","[5.0]","[4.862233652766516]","[5.0]","[63.829963374951305]","[false]","[136.0]","[2060707877]","[5.0]","[true]","[32.0]","[53627.41679999389]","[false]","[8.0]","[35.0]","[5221]","[8396.0]","[40.0]","[73.9619362765487]","[true]","[10.0]","[273.0]"
280,953,73.947092489706,0.6340527558343645,4.863122158694378,6.5452198711585154,63.62143458948153,78.96650109496932,-5142.5,-51929.20399999418,2,"[0.6340527558343645,0.6340527558343645]","[91.5,91.56]","[73.947092489706,73.947092489706]","[6.5452198711585154,6.5452198711585154]","[4.863122158694378,4.863122158694378]","[5.0,5.0]","[63.62143458948153,63.62143458948153]","[false,false]","[163.0,131.0]","[544784270,83616926]","[5.0,5.0]","[true,true]","[40.0,26.0]","[52518.89599999404,51339.511999994305]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5057,5228]","[8396.0,8396.0]","[40.0,40.0]","[78.96650109496932,78.96650109496932]","[true,true]","[10.0,10.0]","[277.0,275.0]"
280,953,75.00456436705022,0.7133747959589911,1.4537108800803056,25.812190748137848,53.93435210933467,76.55848513257915,-5225.0,-51375.56959999426,1,"[0.7133747959589911]","[91.01]","[75.00456436705022]","[25.812190748137848]","[1.4537108800803056]","[5.0]","[53.93435210933467]","[false]","[123.0]","[186349829]","[5.0]","[true]","[26.0]","[51375.56959999426]","[false]","[8.0]","[35.0]","[5225]","[8396.0]","[40.0]","[76.55848513257915]","[true]","[10.0]","[276.0]"
280,953,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4461.0,-53666.479199994,3,"[0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25]","[47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false]","[281.0,287.0,296.0]","[1775144375,-1316938213,-349328432]","[5.0,5.0,5.0]","[true,true,true]","[37.0,31.0,32.0]","[52457.798399994164,53999.761599993915,53666.479199994]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[4461,4801,4386]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true]","[10.0,10.0,10.0]","[267.0,278.0,268.0]"
280,953,53.11264228142558,0.8,3.5376208370315947,21.972134324282326,63.45781385805842,75.01169244610827,-4916.5,-53091.185199994,2,"[0.8,0.8]","[91.61,91.33]","[53.11264228142558,53.11264228142558]","[21.972134324282326,21.972134324282326]","[3.5376208370315947,3.5376208370315947]","[5.0,5.0]","[63.45781385805842,63.45781385805842]","[false,false]","[229.0,195.0]","[-1909925419,1267480063]","[5.0,5.0]","[true,true]","[31.0,24.0]","[54215.85679999376,51966.51359999423]","[false,false]","[8.0,8.0]","[35.0,35.0]","[4822,5011]","[8396.0,8396.0]","[40.0,40.0]","[75.01169244610827,75.01169244610827]","[true,true]","[10.0,10.0]","[280.0,275.0]"
280,953,71.98862059292958,0.7323093325268808,4.149546677330113,18.87037636212463,71.70231324849237,72.29021823762398,-5112.0,-53005.42319999401,4,"[0.7323093325268808,0.7323093325268808,0.7323093325268808,0.7323093325268808]","[92.49000000000001,91.47,90.98,92.25]","[71.98862059292958,71.98862059292958,71.98862059292958,71.98862059292958]","[18.87037636212463,18.87037636212463,18.87037636212463,18.87037636212463]","[4.149546677330113,4.149546677330113,4.149546677330113,4.149546677330113]","[5.0,5.0,5.0,5.0]","[71.70231324849237,71.70231324849237,71.70231324849237,71.70231324849237]","[false,false,false,false]","[156.0,137.0,162.0,150.0]","[1599695798,531023578,243807243,-1189265113]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[39.0,37.0,24.0,19.0]","[53237.29359999392,52483.33919999412,53395.295999994036,52773.5527999941]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[5059,5165,5008,5252]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[72.29021823762398,72.29021823762398,72.29021823762398,72.29021823762398]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[277.0,278.0,279.0,277.0]"
