evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
810,2233,53.11264228142558,0.8,3.5376208370315947,21.972134324282326,63.45781385805842,75.01169244610827,-4986.0,-52085.20319999425,9,"[0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8]","[91.61,91.33,89.86,88.03999999999999,92.05,90.92,91.35,91.28,90.46]","[53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558]","[21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326]","[3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842]","[false,false,false,false,false,false,false,false,false]","[229.0,195.0,194.0,186.0,231.0,185.0,219.0,197.0,202.0]","[-1909925419,1267480063,-312914890,67142144,241601821,150049363,-266679702,401128478,-1556024608]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true,true]","[31.0,24.0,40.0,35.0,35.0,42.0,33.0,27.0,22.0]","[54215.85679999376,51966.51359999423,52587.004799994036,50937.619999994655,52086.20479999409,50874.26879999436,51371.563199994205,52085.20319999425,52701.93839999409]","[false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4822,5011,5014,4854,4986,5068,4900,4920,5019]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827]","[true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[280.0,275.0,279.0,273.0,279.0,267.0,274.0,270.0,271.0]"
810,2233,74.73209232207421,0.5676689077395316,1.4014170806248711,21.703039686650623,76.44780814395452,73.61558867782227,-5416.0,-52290.53119999405,1,"[0.5676689077395316]","[92.53]","[74.73209232207421]","[21.703039686650623]","[1.4014170806248711]","[5.0]","[76.44780814395452]","[false]","[156.0]","[1699187350]","[5.0]","[true]","[24.0]","[52290.53119999405]","[false]","[8.0]","[35.0]","[5416]","[8396.0]","[40.0]","[73.61558867782227]","[true]","[10.0]","[278.0]"
810,2233,74.40282165651908,0.6735576960037781,1.1543754650303544,30.0,57.03151444536752,73.68943661750676,-4928.0,-53962.70239999404,1,"[0.6735576960037781]","[89.84]","[74.40282165651908]","[30.0]","[1.1543754650303544]","[5.0]","[57.03151444536752]","[false]","[181.0]","[1673021847]","[5.0]","[true]","[37.0]","[53962.70239999404]","[false]","[8.0]","[35.0]","[4928]","[8396.0]","[40.0]","[73.68943661750676]","[true]","[10.0]","[276.0]"
810,2233,53.36783418014656,0.7959046594151777,3.635200600307796,21.96899059052751,63.8395795999115,75.09482153554015,-4972.0,-53883.57599999388,1,"[0.7959046594151777]","[90.2]","[53.36783418014656]","[21.96899059052751]","[3.635200600307796]","[5.0]","[63.8395795999115]","[false]","[187.0]","[-1479560078]","[5.0]","[true]","[33.0]","[53883.57599999388]","[false]","[8.0]","[35.0]","[4972]","[8396.0]","[40.0]","[75.09482153554015]","[true]","[10.0]","[272.0]"
810,2233,60.54039523811593,0.7907434246832357,3.5994355805572855,20.449321074986187,66.49465098899103,76.87362326213699,-5139.0,-53717.31039999386,1,"[0.7907434246832357]","[91.99000000000001]","[60.54039523811593]","[20.449321074986187]","[3.5994355805572855]","[5.0]","[66.49465098899103]","[false]","[134.0]","[780870130]","[5.0]","[true]","[42.0]","[53717.31039999386]","[false]","[8.0]","[35.0]","[5139]","[8396.0]","[40.0]","[76.87362326213699]","[true]","[10.0]","[284.0]"
810,2233,80.0,0.6261553582155557,4.811980850644169,5.0,64.17684003489823,73.48707274389811,-5340.0,-53206.99519999385,1,"[0.6261553582155557]","[90.85]","[80.0]","[5.0]","[4.811980850644169]","[5.0]","[64.17684003489823]","[false]","[116.0]","[-674335564]","[5.0]","[true]","[32.0]","[53206.99519999385]","[false]","[8.0]","[35.0]","[5340]","[8396.0]","[40.0]","[73.48707274389811]","[true]","[10.0]","[286.0]"
810,2233,76.55887716165263,0.7062192719382188,4.718684130873767,5.0,66.30814522158661,80.0,-5329.0,-52191.372799994046,3,"[0.7062192719382188,0.7062192719382188,0.7062192719382188]","[92.4,93.96,91.4]","[76.55887716165263,76.55887716165263,76.55887716165263]","[5.0,5.0,5.0]","[4.718684130873767,4.718684130873767,4.718684130873767]","[5.0,5.0,5.0]","[66.30814522158661,66.30814522158661,66.30814522158661]","[false,false,false]","[93.0,113.0,113.0]","[-1433177541,1267283895,-1062146029]","[5.0,5.0,5.0]","[true,true,true]","[31.0,28.0,40.0]","[52348.12319999403,52191.372799994046,51546.8431999942]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[5418,5329,5144]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[80.0,80.0,80.0]","[true,true,true]","[10.0,10.0,10.0]","[279.0,284.0,275.0]"
810,2233,53.134750496518215,0.7912975949822434,3.6335163255248792,23.369754253768956,67.58524122847797,79.60928563537288,-5191.0,-52532.793199994136,4,"[0.7912975949822434,0.7912975949822434,0.7912975949822434,0.7912975949822434]","[93.03,92.30000000000001,91.35,92.47]","[53.134750496518215,53.134750496518215,53.134750496518215,53.134750496518215]","[23.369754253768956,23.369754253768956,23.369754253768956,23.369754253768956]","[3.6335163255248792,3.6335163255248792,3.6335163255248792,3.6335163255248792]","[5.0,5.0,5.0,5.0]","[67.58524122847797,67.58524122847797,67.58524122847797,67.58524122847797]","[false,false,false,false]","[167.0,186.0,172.0,162.0]","[1922731482,1172547977,1096625172,-1856020818]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[31.0,30.0,23.0,27.0]","[53842.76079999368,52766.29119999405,52299.29519999422,51470.721599994205]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[5184,5149,5198,5376]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[79.60928563537288,79.60928563537288,79.60928563537288,79.60928563537288]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[271.0,273.0,273.0,273.0]"
810,2233,74.25371725755639,0.5936242165781461,4.321610367539861,7.807725563868546,59.6116308931271,66.36462508204673,-5125.0,-52822.756399994,6,"[0.5936242165781461,0.5936242165781461,0.5936242165781461,0.5936242165781461,0.5936242165781461,0.5936242165781461]","[90.10000000000001,91.14999999999999,92.39,92.38,89.89,91.53999999999999]","[74.25371725755639,74.25371725755639,74.25371725755639,74.25371725755639,74.25371725755639,74.25371725755639]","[7.807725563868546,7.807725563868546,7.807725563868546,7.807725563868546,7.807725563868546,7.807725563868546]","[4.321610367539861,4.321610367539861,4.321610367539861,4.321610367539861,4.321610367539861,4.321610367539861]","[5.0,5.0,5.0,5.0,5.0,5.0]","[59.6116308931271,59.6116308931271,59.6116308931271,59.6116308931271,59.6116308931271,59.6116308931271]","[false,false,false,false,false,false]","[189.0,182.0,194.0,179.0,195.0,156.0]","[-629511005,790501033,-1525152080,963975277,-511654094,-2046113739]","[5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true]","[38.0,30.0,32.0,29.0,37.0,36.0]","[51410.87599999431,52761.032799993984,52704.442399994,52956.84559999414,53045.236799994185,52884.47999999402]","[false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0]","[5123,5235,5190,5127,4966,5064]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0]","[66.36462508204673,66.36462508204673,66.36462508204673,66.36462508204673,66.36462508204673,66.36462508204673]","[true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0]","[280.0,279.0,282.0,282.0,273.0,278.0]"
810,2233,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4754.0,-52581.9967999941,8,"[0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25,91.03,91.66,89.82,90.0,89.95]","[47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false,false,false,false,false,false]","[281.0,287.0,296.0,261.0,228.0,273.0,247.0,283.0]","[1775144375,-1316938213,-349328432,-1752363544,-1001348077,1294875794,99693079,971975291]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true]","[37.0,31.0,32.0,38.0,26.0,35.0,38.0,29.0]","[52457.798399994164,53999.761599993915,53666.479199994,52977.378399994086,52192.3743999941,52706.19519999403,52236.44479999426,51138.69119999427]","[false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4461,4801,4386,4819,4892,4707,4801,4419]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[267.0,278.0,268.0,267.0,273.0,268.0,270.0,278.0]"
