evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
1000,2631,74.40282165651908,0.6735576960037781,1.1543754650303544,30.0,57.03151444536752,73.68943661750676,-4928.0,-53962.70239999404,1,"[0.6735576960037781]","[89.84]","[74.40282165651908]","[30.0]","[1.1543754650303544]","[5.0]","[57.03151444536752]","[false]","[181.0]","[1673021847]","[5.0]","[true]","[37.0]","[53962.70239999404]","[false]","[8.0]","[35.0]","[4928]","[8396.0]","[40.0]","[73.68943661750676]","[true]","[10.0]","[276.0]"
1000,2631,78.29860508483247,0.6619962678610178,4.797895741336168,5.0,57.50357221676361,72.80935193209913,-5436.0,-51662.52799999414,1,"[0.6619962678610178]","[92.60000000000001]","[78.29860508483247]","[5.0]","[4.797895741336168]","[5.0]","[57.50357221676361]","[false]","[139.0]","[1842853835]","[5.0]","[true]","[37.0]","[51662.52799999414]","[false]","[8.0]","[35.0]","[5436]","[8396.0]","[40.0]","[72.80935193209913]","[true]","[10.0]","[275.0]"
1000,2631,47.88365679304892,0.7685155383044755,2.7150647259452514,25.769803324653907,62.68375233717723,73.39752652415567,-4707.0,-52413.97839999416,11,"[0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755,0.7685155383044755]","[88.62,90.16999999999999,90.25,91.03,91.66,89.82,90.0,89.95,88.38000000000001,90.9,89.46]","[47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892,47.88365679304892]","[25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907,25.769803324653907]","[2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514,2.7150647259452514]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723,62.68375233717723]","[false,false,false,false,false,false,false,false,false,false,false]","[281.0,287.0,296.0,261.0,228.0,273.0,247.0,283.0,228.0,274.0,268.0]","[1775144375,-1316938213,-349328432,-1752363544,-1001348077,1294875794,99693079,971975291,-2104461897,1892655947,-1236763783]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true,true,true,true]","[37.0,31.0,32.0,38.0,26.0,35.0,38.0,29.0,26.0,44.0,43.0]","[52457.798399994164,53999.761599993915,53666.479199994,52977.378399994086,52192.3743999941,52706.19519999403,52236.44479999426,51138.69119999427,51892.14479999421,52413.97839999416,52133.029599994275]","[false,false,false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4461,4801,4386,4819,4892,4707,4801,4419,4966,4701,4552]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567,73.39752652415567]","[true,true,true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[267.0,278.0,268.0,267.0,273.0,268.0,270.0,278.0,269.0,270.0,268.0]"
1000,2631,53.11264228142558,0.8,3.5376208370315947,21.972134324282326,63.45781385805842,75.01169244610827,-4986.0,-52085.20319999425,9,"[0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8]","[91.61,91.33,89.86,88.03999999999999,92.05,90.92,91.35,91.28,90.46]","[53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558,53.11264228142558]","[21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326,21.972134324282326]","[3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947,3.5376208370315947]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842,63.45781385805842]","[false,false,false,false,false,false,false,false,false]","[229.0,195.0,194.0,186.0,231.0,185.0,219.0,197.0,202.0]","[-1909925419,1267480063,-312914890,67142144,241601821,150049363,-266679702,401128478,-1556024608]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[true,true,true,true,true,true,true,true,true]","[31.0,24.0,40.0,35.0,35.0,42.0,33.0,27.0,22.0]","[54215.85679999376,51966.51359999423,52587.004799994036,50937.619999994655,52086.20479999409,50874.26879999436,51371.563199994205,52085.20319999425,52701.93839999409]","[false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4822,5011,5014,4854,4986,5068,4900,4920,5019]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827,75.01169244610827]","[true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[280.0,275.0,279.0,273.0,279.0,267.0,274.0,270.0,271.0]"
1000,2631,80.0,0.8,4.223860268798973,6.012011896559521,60.06069218024744,74.41989059455886,-5415.0,-52118.75679999417,1,"[0.8]","[91.17]","[80.0]","[6.012011896559521]","[4.223860268798973]","[5.0]","[60.06069218024744]","[false]","[95.0]","[-60752487]","[5.0]","[true]","[25.0]","[52118.75679999417]","[false]","[8.0]","[35.0]","[5415]","[8396.0]","[40.0]","[74.41989059455886]","[true]","[10.0]","[295.0]"
1000,2631,79.15388713413478,0.8,4.283666348591747,12.331876910395831,62.951307790483646,74.54841996802821,-5378.0,-53134.87999999392,1,"[0.8]","[92.15]","[79.15388713413478]","[12.331876910395831]","[4.283666348591747]","[5.0]","[62.951307790483646]","[false]","[83.0]","[-320478349]","[5.0]","[true]","[37.0]","[53134.87999999392]","[false]","[8.0]","[35.0]","[5378]","[8396.0]","[40.0]","[74.54841996802821]","[true]","[10.0]","[279.0]"
1000,2631,45.685051549209035,0.8,3.264346613897633,25.926901447667124,66.80311689386261,79.29687825947809,-5165.0,-53912.12159999381,1,"[0.8]","[91.99000000000001]","[45.685051549209035]","[25.926901447667124]","[3.264346613897633]","[5.0]","[66.80311689386261]","[false]","[191.0]","[1053771940]","[5.0]","[true]","[44.0]","[53912.12159999381]","[false]","[8.0]","[35.0]","[5165]","[8396.0]","[40.0]","[79.29687825947809]","[true]","[10.0]","[274.0]"
1000,2631,80.0,0.6211663599164444,4.570315742978669,10.765834514107958,63.66899265827202,79.03806168590998,-5214.0,-52965.359199994025,2,"[0.6211663599164444,0.6211663599164444]","[91.28,91.09]","[80.0,80.0]","[10.765834514107958,10.765834514107958]","[4.570315742978669,4.570315742978669]","[5.0,5.0]","[63.66899265827202,63.66899265827202]","[false,false]","[99.0,107.0]","[-418044502,-2062603534]","[5.0,5.0]","[true,true]","[43.0,29.0]","[52358.63999999406,53572.07839999398]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5243,5185]","[8396.0,8396.0]","[40.0,40.0]","[79.03806168590998,79.03806168590998]","[true,true]","[10.0,10.0]","[287.0,283.0]"
1000,2631,80.0,0.6261553582155557,4.811980850644169,5.0,64.17684003489823,73.48707274389811,-5373.0,-52923.041599994,2,"[0.6261553582155557,0.6261553582155557]","[90.85,89.89]","[80.0,80.0]","[5.0,5.0]","[4.811980850644169,4.811980850644169]","[5.0,5.0]","[64.17684003489823,64.17684003489823]","[false,false]","[116.0,123.0]","[-674335564,-1645670451]","[5.0,5.0]","[true,true]","[32.0,25.0]","[53206.99519999385,52639.087999994146]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5340,5406]","[8396.0,8396.0]","[40.0,40.0]","[73.48707274389811,73.48707274389811]","[true,true]","[10.0,10.0]","[286.0,280.0]"
1000,2631,80.0,0.7207265751310987,4.414840626567194,7.538179346917405,80.0,79.67572797201493,-5324.0,-52662.75079999406,4,"[0.7207265751310987,0.7207265751310987,0.7207265751310987,0.7207265751310987]","[89.8,91.83,89.92999999999999,92.0]","[80.0,80.0,80.0,80.0]","[7.538179346917405,7.538179346917405,7.538179346917405,7.538179346917405]","[4.414840626567194,4.414840626567194,4.414840626567194,4.414840626567194]","[5.0,5.0,5.0,5.0]","[80.0,80.0,80.0,80.0]","[false,false,false,false]","[97.0,92.0,88.0,106.0]","[-1415846711,-5616604,1168151823,-894809162]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[30.0,35.0,32.0,36.0]","[53216.00959999403,51606.43839999421,53090.80959999396,52234.691999994146]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[5356,5292,5180,5359]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[79.67572797201493,79.67572797201493,79.67572797201493,79.67572797201493]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[289.0,277.0,278.0,280.0]"
