evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,probaDenonce,probaDiscu,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
3920,3920,17.000684134154408,0.39155400362295567,3.846096922134378,87.56687514912123,35.3720051825793,12.085891158826445,-41774.231999998075,-42.0,18,"[0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567,0.39155400362295567]","[25.0,28.1,25.040000000000003,29.79,27.83,24.4,24.01,27.589999999999996,28.17,29.220000000000002,24.4,26.14,28.32,28.32,26.02,25.619999999999997,27.089999999999996,27.200000000000003]","[17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408,17.000684134154408]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378,3.846096922134378]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793,35.3720051825793]","[1008.0,987.0,1013.0,1009.0,1016.0,926.0,1019.0,962.0,964.0,1150.0,1096.0,1082.0,963.0,957.0,1049.0,1168.0,1078.0,1091.0]","[87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123,87.56687514912123]","[1620223564,-501179278,1289952454,-124090522,-1113837126,608472754,546084274,-811810651,-1663711265,-1311437305,211943226,-1892350005,1874783737,1774323119,-1414590113,-44672712,1001728606,1162062732]","[-2421.0549999993236,-1714.0505999996094,-3406.6293999995323,-1608.38179999969,-2810.176599999497,-1392.286599999461,-2215.85219999931,-1470.2235999994446,-1828.2955999994883,-1072.9013999994713,-3321.1177999996507,-2169.966399999277,-2556.0831999994625,-1546.2825999996348,-2547.1313999992344,-2114.0645999995977,-2624.4423999995706,-2742.8815999995277]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[52.0,50.0,56.0,48.0,50.0,56.0,52.0,50.0,50.0,42.0,49.0,49.0,50.0,54.0,55.0,53.0,53.0,53.0]","[42787.60079999835,43542.556799998136,41774.231999998075,42856.210399998075,42560.73839999817,43380.54799999824,42527.435199998275,44021.321599998315,43350.49999999812,44349.095199998235,41864.876799998136,43653.48399999841,43134.404799998156,42946.85519999809,43033.7439999983,42176.37439999807,42494.38239999813,42999.93999999817]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445,12.085891158826445]","[133.0,189.0,161.0,218.0,198.0,138.0,151.0,169.0,197.0,215.0,144.0,157.0,183.0,173.0,152.0,162.0,182.0,166.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,90.0,92.0,90.0,94.0,93.0,94.0,88.0,95.0,94.0,91.0,90.0,92.0,88.0,90.0,88.0,89.0,89.0]","[-402.0,-346.0,-374.0,-317.0,-337.0,-397.0,-384.0,-366.0,-338.0,-320.0,-391.0,-378.0,-352.0,-362.0,-383.0,-373.0,-353.0,-369.0]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[80.0,49.0,74.0,54.0,65.0,87.0,77.0,45.0,68.0,84.0,105.0,89.0,68.0,64.0,73.0,94.0,90.0,79.0]"
3920,3920,33.377236442249036,0.1640132181753593,2.444989016263216,46.67953459717826,21.670694022935262,48.06558216821813,-41221.0983999982,-47.0,9,"[0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593]","[27.650000000000002,22.32,27.72,24.08,21.55,26.56,22.439999999999998,30.349999999999998,23.35]","[33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262]","[248.0,295.0,292.0,221.0,226.0,217.0,292.0,317.0,239.0]","[46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826]","[5391603,468599923,1444760203,924251360,-1701583724,-314998655,1778884475,-1384447078,645748860]","[-2635.1469999996625,-2250.9707999995444,-2547.8825999994733,-2560.8407999993433,-4118.579199999433,-1251.8747999993357,-3444.0015999995667,-2045.8305999999284,-2847.2357999995147]","[true,true,true,true,true,true,true,true,true]","[55.0,61.0,52.0,56.0,59.0,47.0,55.0,50.0,56.0]","[42514.163999998054,42288.8039999982,42682.68319999834,42830.919999998274,41221.0983999982,43307.43119999839,41742.68159999809,43066.04559999783,42235.71919999815]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813]","[160.0,106.0,173.0,138.0,122.0,159.0,111.0,199.0,116.0]","[true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[92.0,90.0,91.0,89.0,88.0,96.0,91.0,94.0,96.0]","[-375.0,-429.0,-362.0,-397.0,-413.0,-376.0,-424.0,-336.0,-419.0]","[false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[4.0,2.0,4.0,10.0,6.0,3.0,6.0,5.0,3.0]"
3920,3920,50.07191100878083,0.6625667344949601,6.37840687783364,46.33182807139628,81.43660610849896,50.0,-54830.0879999935,-40.0,1,"[0.6625667344949601]","[93.82000000000001]","[50.07191100878083]","[10.0]","[6.37840687783364]","[5.0]","[81.43660610849896]","[338.0]","[46.33182807139628]","[575397831]","[9409.092999995686]","[true]","[40.0]","[54830.0879999935]","[1.0]","[50.0]","[5141.0]","[true]","[9.0]","[92.0]","[4606.0]","[false]","[10.0]","[240.0]"
3920,3920,49.92619419087669,0.6690958838087897,6.402993865548444,46.324829740132145,92.29958626549139,46.18101839926679,-51718.11679999405,-17.0,11,"[0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897,0.6690958838087897]","[93.53,94.67,93.97999999999999,93.02,93.47999999999999,92.82000000000001,93.21000000000001,92.93,94.3,92.86999999999999,93.83]","[49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669,49.92619419087669]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444,6.402993865548444]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139,92.29958626549139]","[310.0,338.0,386.0,387.0,347.0,354.0,343.0,365.0,326.0,359.0,317.0]","[46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145,46.324829740132145]","[1138711919,-863319252,-1746160333,-180174206,-1840303338,-1567479449,324732872,-1628463419,897776112,-1816756997,-1210900373]","[7495.285799996222,6195.208999996343,6213.613399996313,6878.613199996325,8951.04879999606,8484.365799996202,7937.366999996084,7669.501599996234,8151.3963999960615,7982.56419999621,6872.353199996498]","[true,true,true,true,true,true,true,true,true,true,true]","[35.0,27.0,27.0,34.0,29.0,35.0,17.0,46.0,35.0,37.0,23.0]","[52831.395199993865,51915.18159999397,51718.11679999405,51739.90159999412,54246.655999993636,53132.87679999387,53051.7471999938,52776.30719999387,53826.484799993734,52886.983999993914,51912.17679999404]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679,46.18101839926679]","[5452.0,5273.0,5407.0,5174.0,5368.0,5050.0,5267.0,5073.0,5278.0,5204.0,5378.0]","[true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[94.0,94.0,90.0,87.0,93.0,91.0,92.0,92.0,92.0,91.0,90.0]","[4917.0,4738.0,4872.0,4639.0,4833.0,4515.0,4732.0,4538.0,4743.0,4669.0,4843.0]","[false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[241.0,241.0,240.0,240.0,241.0,240.0,240.0,242.0,241.0,240.0,241.0]"
3920,3920,41.081216215856955,0.6250742572209076,3.796528320731057,53.79245533841973,86.09174646645671,5.0,-46349.540799996976,-53.0,1,"[0.6250742572209076]","[52.739999999999995]","[41.081216215856955]","[10.0]","[3.796528320731057]","[5.0]","[86.09174646645671]","[371.0]","[53.79245533841973]","[-2098564235]","[1221.1381999993391]","[true]","[53.0]","[46349.540799996976]","[1.0]","[5.0]","[724.0]","[true]","[9.0]","[91.0]","[189.0]","[false]","[10.0]","[227.0]"
3920,3920,72.79368207595259,0.6815031485497893,4.410106849087439,90.6653214592227,43.71043736113064,15.956403704702147,-46008.49599999765,-48.0,2,"[0.6815031485497893,0.6815031485497893]","[74.94,43.33]","[72.79368207595259,72.79368207595259]","[10.0,10.0]","[4.410106849087439,4.410106849087439]","[5.0,5.0]","[43.71043736113064,43.71043736113064]","[70.0,564.0]","[90.6653214592227,90.6653214592227]","[1318156669,1619459658]","[5783.363599997749,1372.692799999888]","[true,true]","[48.0,49.0]","[50120.31439999547,46008.49599999765]","[1.0,1.0]","[15.956403704702147,15.956403704702147]","[2038.0,530.0]","[true,true]","[9.0,9.0]","[97.0,89.0]","[1503.0,-5.0]","[false,false]","[10.0,10.0]","[249.0,195.0]"
3920,3920,20.12948235252002,0.7631233413792946,6.5920531095522295,0.0,55.04578061909136,12.541650103820754,-46507.04239999694,-38.0,12,"[0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946]","[54.50000000000001,58.46,55.98,55.58,55.489999999999995,56.830000000000005,57.84,53.72,56.69,53.72,58.660000000000004,58.46]","[20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136]","[1408.0,1313.0,1374.0,1387.0,1417.0,1277.0,1350.0,1407.0,1378.0,1346.0,1393.0,1379.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1149857749,-1492484769,-912847602,2026356104,1528766149,-1603168736,-1605028880,943908184,-84383811,-987663856,-1526711451,-512814417]","[2708.201199999261,2852.1811999989513,3335.390599999184,1094.6235999994024,3220.269199998984,1128.7405999989423,3584.100399999028,2317.013799999251,1517.1109999992914,861.4385999992664,1226.3339999988893,3071.1559999989695]","[true,true,true,true,true,true,true,true,true,true,true,true]","[45.0,38.0,46.0,48.0,48.0,44.0,41.0,41.0,46.0,48.0,42.0,45.0]","[47903.5231999969,48454.90399999661,47862.20719999685,46507.04239999694,48175.95839999669,46705.108799996626,48848.53279999675,47310.57599999696,47068.18879999696,46688.83279999696,46953.00479999657,48548.80399999652]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754]","[791.0,922.0,878.0,895.0,817.0,905.0,871.0,780.0,898.0,820.0,921.0,909.0]","[true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[94.0,96.0,88.0,93.0,92.0,97.0,93.0,90.0,92.0,94.0,89.0,91.0]","[256.0,387.0,343.0,360.0,282.0,370.0,336.0,245.0,363.0,285.0,386.0,374.0]","[false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[145.0,154.0,159.0,150.0,165.0,169.0,154.0,140.0,155.0,150.0,154.0,153.0]"
3920,3920,78.75842469682219,0.21638995635386274,6.051159923736395,57.959513133470494,41.02836892420146,19.837444078011774,-44543.906399997475,-50.0,2,"[0.21638995635386274,0.21638995635386274]","[46.89,46.47]","[78.75842469682219,78.75842469682219]","[10.0,10.0]","[6.051159923736395,6.051159923736395]","[5.0,5.0]","[41.02836892420146,41.02836892420146]","[980.0,1179.0]","[57.959513133470494,57.959513133470494]","[1035358678,-1201674986]","[1729.0745999998544,-160.88200000012876]","[true,true]","[51.0,50.0]","[46331.511999997376,44543.906399997475]","[1.0,1.0]","[19.837444078011774,19.837444078011774]","[639.0,663.0]","[true,true]","[9.0,9.0]","[90.0,95.0]","[104.0,128.0]","[false,false]","[10.0,10.0]","[150.0,167.0]"
3920,3920,29.799493946497478,0.5690352851547578,8.809899753025437,3.164240363035775,41.79505732624937,41.458060246434165,-48715.57039999631,-34.0,6,"[0.5690352851547578,0.5690352851547578,0.5690352851547578,0.5690352851547578,0.5690352851547578,0.5690352851547578]","[71.94,62.03999999999999,73.19,76.62,65.75,66.97999999999999]","[29.799493946497478,29.799493946497478,29.799493946497478,29.799493946497478,29.799493946497478,29.799493946497478]","[10.0,10.0,10.0,10.0,10.0,10.0]","[8.809899753025437,8.809899753025437,8.809899753025437,8.809899753025437,8.809899753025437,8.809899753025437]","[5.0,5.0,5.0,5.0,5.0,5.0]","[41.79505732624937,41.79505732624937,41.79505732624937,41.79505732624937,41.79505732624937,41.79505732624937]","[1456.0,1669.0,1449.0,1537.0,1456.0,1302.0]","[3.164240363035775,3.164240363035775,3.164240363035775,3.164240363035775,3.164240363035775,3.164240363035775]","[-1113206187,419923903,-1765338687,-243615936,2110652849,160648122]","[4007.5893999978725,4341.122199998506,4940.454599997764,5021.271199997354,4151.757199998305,4644.35659999826]","[true,true,true,true,true,true]","[39.0,50.0,38.0,34.0,46.0,50.0]","[49493.31279999546,48715.57039999631,50468.370399995394,50189.424799995104,48899.86479999592,49804.55999999587]","[1.0,1.0,1.0,1.0,1.0,1.0]","[41.458060246434165,41.458060246434165,41.458060246434165,41.458060246434165,41.458060246434165,41.458060246434165]","[1493.0,1090.0,1582.0,1889.0,1306.0,1269.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,95.0,87.0,92.0,91.0,96.0]","[958.0,555.0,1047.0,1354.0,771.0,734.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[161.0,166.0,191.0,184.0,171.0,170.0]"
3920,3920,8.069426388691504,0.2162631933775565,2.038954838290396,80.01826832891727,67.70623993442938,45.46271674231949,-45756.09279999739,-39.0,9,"[0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565]","[49.919999999999995,48.44,44.64,53.580000000000005,54.33,47.589999999999996,49.919999999999995,47.699999999999996,48.51]","[8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938]","[1158.0,1199.0,1294.0,1020.0,993.0,1214.0,1177.0,1157.0,1177.0]","[80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727]","[-389070579,-663064136,-1771522070,981608174,1543178575,-403928466,821860333,-1046496475,-1373010998]","[2542.436399999395,1238.1653999997507,1926.6401999997615,2367.782399999487,2891.7443999991156,470.9397999997964,919.5313999996433,1430.9733999991731,1052.3059999994293]","[true,true,true,true,true,true,true,true,true]","[46.0,43.0,42.0,40.0,43.0,39.0,41.0,51.0,42.0]","[47812.87839999693,46784.735999997516,46214.82559999739,48105.345599997134,47944.58879999674,45756.09279999739,46320.494399997246,46417.89999999696,46210.318399997086]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949]","[876.0,911.0,644.0,1100.0,995.0,800.0,873.0,717.0,857.0]","[true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[91.0,96.0,89.0,91.0,90.0,92.0,87.0,90.0,89.0]","[341.0,376.0,109.0,565.0,460.0,265.0,338.0,182.0,322.0]","[false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[210.0,211.0,193.0,237.0,218.0,202.0,238.0,199.0,204.0]"
