"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M2-SAFIRe_model.nlogo"
"replication_treeKillers"
"06/12/2024 10:57:38:325 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","engagés-initiaux","nombre-bergers","proba-denonce","proba-discu","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","coordination-RNA","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages","stock-mil-g","nbTreekilled_hearder","nbTreekilled_cutter","nbTreekilled_grower"
"40","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.95","0","[88 95 88 89 87 87 98 97 88 91 88 92 100 92 95 100 98 91 91 98 99 89 98 95 94 99 94 93 90 99 87 94 93]","33","18","18","0","77.05168539326155","78","43008.70399999847","3063","3577","9083"
"22","9","5","90","80","8","0.7","25","10","true","10","10","10192","15.290000000000001","0","[89 94 89 97 88 95 95 87 94 91 98 92 87 97 95 95 99 88 96 92 93 99 97 98 89 89]","26","3","3","0","138.38666666667405","88","42310.83919999846","1773","3964","9953"
"56","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.98","0","[98 88 100 94 87 96 99 90 92 98 96 94 99 100 87 90 89 92 100 96 95 87 88 89 99 98 91 94 97 92 98 99 87 87 99 93 99 94 98 90 99 100 92 90 100 87 97 93 99 87 95 100 100 88]","54","24","24","3","38.40430107526966","29","41932.98559999849","3329","3602","9682"
"46","9","5","90","80","8","0.7","25","10","true","10","30","10192","15.75","0","[96 92 95 88 91 88 91 87 97 94 88 97 100 87 96 95 97 87 90 92 96 94 90 87 87]","25","6","6","0","213.74347826087757","90","41436.191999998344","2711","3313","9390"
"41","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.830000000000002","0","[92 96 91 99 96 93 100 91 90 99 96 99 89 91 89 96 94 91 96 96 92 100 90 88 97 99 98 89 97 89 99 96 93 90 98 94 99 88 92 99 91 97 96 96 93 95 92 95 89 97 92 90 97 88 95 96 87 88 87 92 90 90 94 87 97 92 89 90]","68","76","76","0","26.63870967741954","7","42503.14639999845","3452","3921","9940"
"32","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.69","0","[88 93 99 97 90 93 88 88 98 91 91 88 98 88 87 95 93 87 100 89 88 97 96 93 97 91 91 94 99 98 99 91 89 87 100 96 95 90 90 90 88]","41","0","0","0","100.43111111111779","84","42229.70959999851","3075","3414","8972"
"12","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.29","0","[89 87 91 87 93 90 88 88 98 99 92 96 89 92 89 97 88 91 99 98 96 93 97 97 98 92 87 91]","28","0","0","0","176.31428571429697","91","41115.42959999824","1459","3911","10358"
"20","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.900000000000002","0","[91 88 97 97 99 94 94 99 96 98 98 97 94 95 88 100 97 87 98 92 95 88 99 98 98 87 97 90 91 97 92 92 100 94 87]","35","6","6","0","123.03777777778383","89","41210.831999998416","1432","3955","10650"
"28","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.37","0","[98 90 93 87 87 89 93 98 94 99 91 89 90 89 98 92 99 92 97 95 95 93 87 93 96 91 90 91 97 97 90 97 89 88 99 87 95 93 96 91 91 88 93 97 99 99 99 93 96 98]","50","33","32","0","100.26086956522407","83","41168.013599998405","1390","4233","11267"
"13","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.54","0","[88 96 94 100 88 97 91 91 98 88 96 91 95 96]","14","3","3","0","205.6879120879222","91","42160.348799998654","1548","3674","9178"
"59","9","5","90","80","8","0.7","25","10","true","10","30","10192","16.49","0","[91 91 91 98 92 90 91 96 98 87 100 98 100 88 89 93 90 89 89 96 88 89 87 96 93 90 88]","27","6","6","0","170.89072164949152","95","42004.85039999853","3182","3362","8979"
"15","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.76","0","[93 91 89 87 96 90 88 90 89 90 100 98 95 96 88 88 88 97 92 93 98 90 87 95 89 100 89 92 93 94 87 96 88 94 91 88 93 98 97 95 94 95 92 89 87 97 94 96 96 89 100 99 99 88 93 87 100 90 92 90 89 98 95 99 96 99 92 93 99 94 91 91 99 94 99 88 91 93 90 99 98 96 99 98 97]","85","184","183","3","70.43829787234539","78","42633.85519999833","1595","4296","12038"
"19","9","5","90","80","8","0.7","25","10","true","10","10","10192","19.650000000000002","0","[100 100 93 91 98 96 95 100 95 92 98 94 97 90 95 94 99 96 93 100 87 95 99 87 90 99 99 89 100 95 88 98 92 91 99 89 97 89 96 100 98 95 92 100 96 90 93 100 92 91 91 97 88 100 97 91 93 92 91 98 97 100 99 95 93 92 96]","67","49","49","0","89.80222222222781","77","41721.89839999838","1809","4062","11168"
"57","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.529999999999998","0","[99 88 94 94 90 91 95 100 92 91 92 87 87 94 89 93 92 97 88 87 90 91 98 91 92 95 97 91 87 100 99 90 93 100 94 93 95 98 99 90]","40","7","5","1","57.63956043956338","67","42156.59279999836","3084","3478","9073"
"53","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.57","0","[99 94 100 98 92 100 95 93 89 92 98 92 97 90 98 89 90 90 98 90 95 91 90 90 88 90 99 90 100 96 90 93 95 100 99 95 100 88 98 93 100 88 94 97 95 94 91 99 89 87 98 99]","52","34","34","1","37.05684210526412","29","40450.1167999981","3191","3729","10085"
"42","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.86","0","[93 92 91 97 88 91 92 92 91 97 98 93 94 100 96 94 88 96 92 90 92 97 97 95 93 95 92 99 100 92 94 92 100 100 100 95 100 100 89 94 91 97 93 89 88 87 100 94 87 93 100 97 92 88 99 89 93 90 91 98 92 99 92 93 92 89 88 91 91 92 98]","71","148","147","3","10.329670329671194","17","42817.14799999851","3507","3634","10125"
"5","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.650000000000002","0","[99 95 88 87 91 89 99 88 100 97 89 88 93 94 89 93 98 100 95 96 96 87 93 97 92 88 93 97 88 99 100 93 87 88 91 89 90 93 88 89 96 89 92 88 94 99 96 98 96]","49","50","49","0","113.41521739131373","82","42351.4039999986","1507","4078","11137"
"50","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.64","0","[97 93 90 92 100 88 100 95 96 97 87 92 94 99 93 93 88 92 90 100 98 92 87 97 94 100 93 93 91 91 95 99 91 99 90 87 99 87 99 99 93 95 96 99 87 99 91 98 89 90 96 87 97 88 92 91 100 92 92 93 100 89 95 99 95 98 92 100 92 92 95 100 94 96 99]","75","121","121","3","25.936956521740264","23","42262.26159999856","3284","3624","10343"
"8","9","5","90","80","8","0.7","25","10","true","10","10","10192","19.12","0","[92 95 95 87 97 95 99 89 95 87 91 87 100 88 88 97 96 96 89 89 100 98 91 90 98 93 89 90 89 91 94 88 93 92 87 94 94 89 88 87 91 99 96 97 93 99 93 98 97 96 99 88 88 98 94 91 95 88 96]","59","83","83","5","97.64731182796241","80","42719.4919999985","1518","4140","11625"
"27","9","5","90","80","8","0.7","25","10","true","10","10","10192","18.060000000000002","0","[99 88 98 91 98 89 100 95 88 91 97 93 92 98 89 100 98 99 92 96 88 96 94 91 91 96 92 93 97 96 90 95 99 90 87 97 91 88 94 98 99 91 97 88 99 93 98 99 87 97 97 94 100 90]","54","37","36","0","111.66736842106036","91","42414.00399999859","1674","4195","11111"
"4","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.24","0","[88 89 88 97 92 90 97 95 90 92 100 89 94 89 96 88 90 98 90 99 91 92 89 99 94 95 100 98 93 99 98 96 89 90 93 95 90 87 97 96 95 92 91 97 87 88 90 96 96 95 97 98 87 94 91 94 89 93 94 87 91 94 90 96 100 90 99 93 87]","69","73","71","1","93.320430107533","87","43218.28879999851","1511","4180","11281"
"55","9","5","90","80","8","0.7","25","10","true","10","30","10192","20.830000000000002","0","[99 88 95 100 95 99 99 91 97 89 96 88 93 96 92 87 93 96 95 94 98 88 94 87 92 97 99 100 100 92 92 89 100 94 100 98 96 91 97 98 93 87 97 98 92 98 89 98 96 90 96 98 88 100 99 91 97 88 96 98 93]","61","62","62","4","26.42150537634704","35","42726.75359999852","3437","3666","10385"
