evolution$generation,evolution$evaluated,probaDiscu,fréquenceRéu,tpsAuChamp,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
8400,25231,61.69747412012529,4.110712561110714,24.298472376124405,49288.98639999597,31.0,7,"[0.2,0.2,0.2,0.2,0.2,0.2,0.2]","[71.2,68.65,67.71000000000001,70.50999999999999,69.01,66.38,68.04]","[24.298472376124405,24.298472376124405,24.298472376124405,24.298472376124405,24.298472376124405,24.298472376124405,24.298472376124405]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[4.110712561110714,4.110712561110714,4.110712561110714,4.110712561110714,4.110712561110714,4.110712561110714,4.110712561110714]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[61.69747412012529,61.69747412012529,61.69747412012529,61.69747412012529,61.69747412012529,61.69747412012529,61.69747412012529]","[1040.0,944.0,1104.0,1029.0,1003.0,1017.0,1082.0]","[50.0,50.0,50.0,50.0,50.0,50.0,50.0]","[-997054174,1757620350,534965952,-429929407,-783714251,2069346192,-1130975534]","[4111.129799997878,4235.077799998195,3305.780799998385,3601.064999998045,4172.164799998383,4593.462799998211,4378.556999998633]","[true,true,true,true,true,true,true]","[28.0,45.0,29.0,29.0,37.0,31.0,48.0]","[49552.40719999563,48856.044799995914,48713.56719999615,49304.761599995676,49288.98639999597,49596.97839999595,48884.089599996194]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0,25.0,25.0,25.0]","[1517.0,1465.0,1448.0,1596.0,1531.0,1337.0,1405.0]","[true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[96.0,92.0,95.0,91.0,92.0,89.0,87.0]","[982.0,930.0,913.0,1061.0,996.0,802.0,870.0]","[false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[203.0,209.0,208.0,210.0,210.0,205.0,210.0]"
8400,25231,88.35882096470588,8.176597422047612,98.8742771949772,51957.499199994316,22.0,1,"[0.2]","[85.67]","[98.8742771949772]","[10.0]","[8.176597422047612]","[5.0]","[88.35882096470588]","[306.0]","[50.0]","[1106985038]","[6530.056399996611]","[true]","[22.0]","[51957.499199994316]","[1.0]","[25.0]","[3517.0]","[true]","[9.0]","[97.0]","[2982.0]","[false]","[10.0]","[242.0]"
8400,25231,39.54070465844941,8.612559448819514,10.302339031746163,44979.60239999797,41.0,3,"[0.2,0.2,0.2]","[36.08,53.839999999999996,37.2]","[10.302339031746163,10.302339031746163,10.302339031746163]","[10.0,10.0,10.0]","[8.612559448819514,8.612559448819514,8.612559448819514]","[5.0,5.0,5.0]","[39.54070465844941,39.54070465844941,39.54070465844941]","[1791.0,1364.0,1637.0]","[50.0,50.0,50.0]","[-369359996,-1801460224,-1302925257]","[-290.3387999997285,2039.9461999992782,-130.14539999976114]","[true,true,true]","[40.0,41.0,54.0]","[44979.60239999797,47755.53679999692,44645.31839999789]","[1.0,1.0,1.0]","[25.0,25.0,25.0]","[330.0,858.0,363.0]","[true,true,true]","[9.0,9.0,9.0]","[91.0,95.0,96.0]","[-205.0,323.0,-172.0]","[false,false,false]","[10.0,10.0,10.0]","[182.0,207.0,193.0]"
8400,25231,52.65809874571,10.0,12.379395140490598,48099.085599996746,31.5,2,"[0.2,0.2]","[57.68,54.61]","[12.379395140490598,12.379395140490598]","[10.0,10.0]","[10.0,10.0]","[5.0,5.0]","[52.65809874571,52.65809874571]","[1314.0,1421.0]","[50.0,50.0]","[-1557288446,-1151987768]","[4117.953199999043,2897.315799999051]","[true,true]","[28.0,35.0]","[48170.44959999669,48027.721599996796]","[1.0,1.0]","[25.0,25.0]","[1139.0,977.0]","[true,true]","[9.0,9.0]","[90.0,96.0]","[604.0,442.0]","[false,false]","[10.0,10.0]","[228.0,201.0]"
8400,25231,97.97689880514447,5.529384986772444,88.07768310488792,52165.581599994395,35.0,13,"[0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2]","[82.65,86.83,86.03,86.21,85.97,86.78,85.53,86.8,85.84,86.17,83.71,85.66,84.44]","[88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792,88.07768310488792]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444,5.529384986772444]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447,97.97689880514447]","[272.0,243.0,318.0,286.0,304.0,346.0,335.0,351.0,270.0,298.0,293.0,259.0,424.0]","[50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0]","[-1526197196,1887248296,468288966,1110456847,779207784,1855659461,1213417183,1344330746,754349220,436448922,207074248,1710252202,-1483406098]","[7897.7411999969045,7524.081799996529,7899.306199996667,8262.135799996599,7823.810599996446,7139.9055999966,4376.6163999969285,6767.6233999969045,7249.956399996889,6270.829799996929,7511.561799996773,4784.455399997059,6902.714199996699]","[true,true,true,true,true,true,true,true,true,true,true,true,true]","[37.0,25.0,33.0,37.0,34.0,25.0,39.0,26.0,36.0,44.0,39.0,27.0,35.0]","[52291.78319999458,52842.663199994226,52165.581599994395,52671.89039999432,52900.004799994225,52708.69919999426,49850.633599994646,51624.96799999462,52210.403199994464,51583.651999994494,52080.94639999457,50550.251199994884,51783.22079999442]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0]","[3143.0,3421.0,3236.0,3261.0,3118.0,3058.0,3186.0,3188.0,3165.0,3095.0,3093.0,3231.0,3158.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[90.0,93.0,93.0,90.0,89.0,92.0,93.0,93.0,96.0,94.0,96.0,94.0,92.0]","[2608.0,2886.0,2701.0,2726.0,2583.0,2523.0,2651.0,2653.0,2630.0,2560.0,2558.0,2696.0,2623.0]","[false,false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[241.0,242.0,241.0,241.0,240.0,240.0,240.0,240.0,242.0,240.0,245.0,244.0,229.0]"
8400,25231,65.84155971503428,1.797123644033844,12.12151959582454,47055.16799999702,51.0,1,"[0.2]","[50.870000000000005]","[12.12151959582454]","[10.0]","[1.797123644033844]","[5.0]","[65.84155971503428]","[1150.0]","[50.0]","[-954760235]","[1813.6471999991481]","[true]","[51.0]","[47055.16799999702]","[1.0]","[25.0]","[779.0]","[true]","[9.0]","[94.0]","[244.0]","[false]","[10.0]","[203.0]"
8400,25231,43.231069045206574,8.810170221492886,75.36985328095017,52230.30999999447,40.0,2,"[0.2,0.2]","[84.61999999999999,84.85000000000001]","[75.36985328095017,75.36985328095017]","[10.0,10.0]","[8.810170221492886,8.810170221492886]","[5.0,5.0]","[43.231069045206574,43.231069045206574]","[353.0,422.0]","[50.0,50.0]","[-1544495488,-1069704665]","[8496.197199996634,7053.329799997009]","[true,true]","[39.0,41.0]","[53052.498399994365,51408.12159999457]","[1.0,1.0]","[25.0,25.0]","[2891.0,2931.0]","[true,true]","[9.0,9.0]","[94.0,95.0]","[2356.0,2396.0]","[false,false]","[10.0,10.0]","[240.0,225.0]"
8400,25231,80.51103477539775,6.106599640664088,94.00361602845173,52357.888799994405,47.0,1,"[0.2]","[85.82]","[94.00361602845173]","[10.0]","[6.106599640664088]","[5.0]","[80.51103477539775]","[334.0]","[50.0]","[-744153555]","[7179.406199996731]","[true]","[47.0]","[52357.888799994405]","[1.0]","[25.0]","[3088.0]","[true]","[9.0]","[95.0]","[2553.0]","[false]","[10.0]","[241.0]"
8400,25231,90.32567316508366,4.690280901883874,31.44357859211257,51401.11039999509,24.0,1,"[0.2]","[77.37]","[31.44357859211257]","[10.0]","[4.690280901883874]","[5.0]","[90.32567316508366]","[818.0]","[50.0]","[819228889]","[5871.128799997416]","[true]","[24.0]","[51401.11039999509]","[1.0]","[25.0]","[2110.0]","[true]","[9.0]","[92.0]","[1575.0]","[false]","[10.0]","[211.0]"
8400,25231,95.18982427196293,6.374280254378507,89.22263859099034,50698.23759999468,41.0,3,"[0.2,0.2,0.2]","[85.97,86.72999999999999,86.64]","[89.22263859099034,89.22263859099034,89.22263859099034]","[10.0,10.0,10.0]","[6.374280254378507,6.374280254378507,6.374280254378507]","[5.0,5.0,5.0]","[95.18982427196293,95.18982427196293,95.18982427196293]","[320.0,321.0,313.0]","[50.0,50.0,50.0]","[1130161646,-1589426445,1380259511]","[5838.701999997102,7275.9979999967545,4545.07299999705]","[true,true,true]","[50.0,41.0,38.0]","[50698.23759999468,51965.51199999445,50367.20879999468]","[1.0,1.0,1.0]","[25.0,25.0,25.0]","[3137.0,3078.0,3217.0]","[true,true,true]","[9.0,9.0,9.0]","[94.0,90.0,95.0]","[2602.0,2543.0,2682.0]","[false,false,false]","[10.0,10.0,10.0]","[241.0,242.0,240.0]"
