"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration1(Surveillance-pop)"
"08/13/2022 09:51:14:255 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"11","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","29.220000000000002","2","91.6701030927835","194","535","-341","301","4","0","11.50888888888874","1"
"23","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","24.099999999999998","1","90.61363636363636","132","535","-403","160","2","0","10.422727272727151","0"
"35","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","26.490000000000002","0","91.375","168","535","-367","232","0","0","13.051685393258309","0"
"69","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","24.8","5","91.18382352941177","136","535","-399","204","15","0","8.489130434782487","2"
"14","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","22.14","0","91.5229357798165","109","535","-426","78","4","0","10.218181818181677","2"
"68","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","27.76","2","91.4733727810651","169","535","-366","257","0","0","8.57777777777768","0"
"70","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","26.279999999999998","0","91.27322404371584","183","535","-352","278","2","0","8.836170212765836","2"
"48","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","24.45","4","91.18656716417911","134","535","-401","170","2","0","6.705617977528018","0"
"45","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","28.410000000000004","3","91.07772020725389","193","535","-342","303","0","0","7.881318681318582","0"
"10","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","24.36","1","91.41772151898734","158","535","-377","225","2","0","11.11777777777765","0"
"49","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","24.19","5","91.75590551181102","127","535","-408","180","0","0","5.558695652173852","0"
"19","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","22.66","0","91.6910569105691","123","535","-412","141","5","0","8.776842105263075","0"
"33","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","25.16","0","91.69590643274854","171","535","-364","210","1","0","13.11648351648339","0"
"5","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","28.310000000000002","0","92.02380952380952","210","535","-325","369","1","0","13.046153846153741","0"
"2","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","29.189999999999998","0","90.795","200","535","-335","331","0","0","12.7075268817203","0"
"61","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","25.919999999999998","0","91.45070422535211","142","535","-393","194","1","0","12.686956521739033","0"
"65","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","25.990000000000002","0","91.1042944785276","163","535","-372","209","3","0","12.350537634408434","1"
"8","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","29.01","2","91.11822660098522","203","535","-332","293","0","0","10.756989247311719","0"
"51","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","25.83","4","91.92528735632185","174","535","-361","214","0","0","4.28764044943815","0"
"6","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","28.29","1","91.94444444444444","198","535","-337","298","0","0","11.541573033707703","1"
"17","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","27.689999999999998","0","91.60215053763442","186","535","-349","293","3","0","9.382417582417455","1"
"71","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","27.650000000000002","1","91","189","535","-346","319","24","0","5.218181818181775","0"
"67","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","27.88","1","92.08176100628931","159","535","-376","275","9","0","8.313978494623568","0"
"20","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","26.33","1","91.49655172413793","145","535","-390","196","11","0","9.367032967032866","2"
"62","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","29.099999999999998","0","91.27918781725889","197","535","-338","325","0","0","12.972631578947246","0"
"29","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","30.55","1","92.16901408450704","213","535","-322","381","0","0","5.3851063829786385","0"
"1","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","30.240000000000002","0","91.2378640776699","206","535","-329","354","1","0","11.667391304347696","0"
"22","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","29.880000000000003","1","91.90610328638498","213","535","-322","380","8","0","7.505617977528001","0"
"30","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","29.7","4","92.02127659574468","188","535","-347","297","6","0","7.54526315789464","0"
"37","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","28.42","1","91.42162162162163","185","535","-350","277","0","0","9.345454545454405","0"
"32","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","30.759999999999998","0","91.57551020408164","245","535","-290","459","0","0","11.987096774193402","0"
"24","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","26.889999999999997","0","91.01190476190476","168","535","-367","228","0","0","9.204347826086842","2"
"47","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","25.22","2","91.67096774193548","155","535","-380","211","0","0","6.21052631578939","1"
"3","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","28.95","0","91.76142131979695","197","535","-338","302","1","0","13.725842696629035","2"
"27","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","28.810000000000002","1","91.63546798029557","203","535","-332","346","0","0","8.905747126436678","0"
"31","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","25.979999999999997","0","92.16763005780346","173","535","-362","275","0","0","12.4215053763439","0"
"9","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","26.61","3","92.4054054054054","185","535","-350","293","3","0","11.233684210526137","1"
"38","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","27.46","3","92.04102564102564","195","535","-340","340","11","0","9.105376344085938","1"
"64","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","26.06","0","90.95808383233533","167","535","-368","214","3","0","13.037362637362504","0"
"41","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","24.72","2","91.61379310344827","145","535","-390","201","6","0","7.3021276595743725","0"
"63","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","25.46","0","91.23636363636363","165","535","-370","255","0","0","12.35051546391739","0"
"54","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","24.13","2","91.32666666666667","150","535","-385","177","0","0","3.6978723404254743","0"
"39","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","27.77","1","91.34673366834171","199","535","-336","328","2","0","9.651111111111014","0"
"40","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","26.91","1","91.67515923566879","157","535","-378","190","0","0","8.595744680850965","1"
"55","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","26.6","4","91.49717514124293","177","535","-358","312","0","0","4.008791208791165","0"
"43","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","24.89","2","92.1","150","535","-385","205","7","0","7.733333333333238","1"
"34","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","27.189999999999998","0","91.3798076923077","208","535","-327","361","2","0","13.008421052631451","1"
"50","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","25.569999999999997","1","91.86577181208054","149","535","-386","171","0","0","6.210752688171959","1"
"7","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","26.790000000000003","0","91.72727272727273","187","535","-348","345","1","0","10.29782608695644","0"
"66","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","23.26","4","91.82014388489209","139","535","-396","180","0","0","8.608602150537543","0"
"53","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","28.71","1","91.43718592964824","199","535","-336","340","17","0","5.264367816091898","0"
"28","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","29.909999999999997","1","91.60096153846153","208","535","-327","331","4","0","7.109473684210421","1"
