"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration1(Surveillance-pop)"
"08/13/2022 13:26:54:026 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"23","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","25.03","3","91.16666666666667","162","535","-373","218","0","0","7.290109890109802","0"
"5","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","30.4","0","91.60287081339713","209","535","-326","324","3","0","11.979775280898728","1"
"10","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","30.470000000000002","2","92.05825242718447","206","535","-329","396","0","0","11.432967032966891","0"
"41","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","28.549999999999997","2","91.65174129353234","201","535","-334","368","14","0","7.4219780219779246","0"
"37","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","28.15","1","91.52352941176471","170","535","-365","270","0","0","10.202247191011116","1"
"70","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","23.9","5","91.36170212765957","141","535","-394","175","0","0","7.959574468085002","0"
"4","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","25.06","0","91.80891719745223","157","535","-378","185","0","0","13.582222222222097","0"
"31","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","30.12","0","91.55555555555556","216","535","-319","403","1","0","12.564835164835019","1"
"21","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","25.7","1","92.9090909090909","132","535","-403","155","0","0","6.873913043478182","0"
"68","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","28.52","0","91.08866995073892","203","535","-332","308","9","0","8.934065934065844","1"
"65","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","27.389999999999997","0","91.3913043478261","184","535","-351","259","0","0","12.86067415730326","0"
"61","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","29.99","0","91.55217391304348","230","535","-305","512","4","0","13.905617977527916","0"
"69","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","27.169999999999998","6","91.37305699481865","193","535","-342","315","0","0","8.239560439560341","0"
"19","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","25.2","2","90.578125","128","535","-407","134","4","0","7.9698924731181835","0"
"62","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","26.889999999999997","0","92.14556962025317","158","535","-377","221","2","0","13.671739130434634","1"
"14","6","9","false","5","10","false","true","20","2","0.1","25","10","10","40","8396","24.62","2","92.11333333333333","150","535","-385","204","0","0","9.906666666666519","0"
"36","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","25.929999999999996","3","91.2751677852349","149","535","-386","179","2","0","9.507692307692212","0"
"46","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","28.13","2","91.45365853658537","205","535","-330","327","17","0","6.17441860465108","1"
"2","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","29.21","0","91.54205607476635","214","535","-321","386","0","0","13.126881720429946","1"
"8","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","27.02","2","91.66272189349112","169","535","-366","244","10","0","11.89318181818168","1"
"40","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","25.46","4","91.00694444444444","144","535","-391","202","2","0","10.675555555555427","1"
"67","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","24.990000000000002","2","91.60958904109589","146","535","-389","186","18","0","7.430434782608624","0"
"25","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","29.89","0","90.97652582159624","213","535","-322","368","0","0","8.263736263736188","0"
"45","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","31.230000000000004","2","91.74248927038627","233","535","-302","458","0","0","7.369230769230688","0"
"26","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","26.290000000000003","6","91.86060606060606","165","535","-370","215","8","0","7.984444444444332","0"
"56","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","25.72","6","90.96103896103897","154","535","-381","216","0","0","3.9088888888888498","0"
"66","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","27.6","2","91.27922077922078","154","535","-381","215","0","0","8.006521739130363","0"
"35","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","26.85","1","91.02030456852792","197","535","-338","325","0","0","12.389583333333194","0"
"59","6","9","false","5","10","false","true","20","2","0.5","25","10","10","100","8396","27.139999999999997","4","91.88165680473372","169","535","-366","227","0","0","3.365909090909031","0"
"3","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","23.54","0","91.5725806451613","124","535","-411","179","0","0","12.978260869565078","1"
"52","6","9","false","5","10","false","true","20","2","0.5","25","10","10","80","8396","25.180000000000003","2","91.63855421686748","166","535","-369","264","3","0","4.70769230769224","1"
"38","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","25.990000000000002","4","91.79354838709678","155","535","-380","215","6","0","9.514285714285618","3"
"63","6","9","false","5","10","false","true","20","2","1","25","10","10","0","8396","28.71","0","91.56345177664974","197","535","-338","331","2","0","13.476086956521543","4"
"33","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","24.92","0","91.4931506849315","146","535","-389","188","0","0","11.40208333333324","0"
"30","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","25.55","2","91.77777777777777","171","535","-364","275","0","0","6.982022471910019","0"
