evolution$generation,evolution$evaluated,nbSurveillants,tpsAuChamp,probaDiscu,qPrésenceBrousse,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
20000,20000,12.698617401170956,59.211947435182985,84.40344024561556,0.7076446706354973,40.18537607232589,53630.67199999425,37.0,1,"[0.7076446706354973]","[87.41]","[59.211947435182985]","[10.0]","[2.0]","[5.0]","[84.40344024561556]","[80.0]","[50.0]","[-526421058]","[8389.90239999658]","[false]","[37.0]","[53630.67199999425]","[12.698617401170956]","[40.18537607232589]","[3978.0]","[true]","[9.0]","[7.087385748916333]","[3443.0]","[true]","[10.0]","[250.0]"
20000,20000,13.020317876372623,60.74461743750893,73.8258851187919,0.7690312340569376,49.56616639636249,52722.721599994096,23.0,2,"[0.7690312340569376,0.7690312340569376]","[90.08,90.85]","[60.74461743750893,60.74461743750893]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[73.8258851187919,73.8258851187919]","[106.0,88.0]","[50.0,50.0]","[123792711,206334323]","[7571.595199996169,7906.004399996455]","[false,false]","[39.0,23.0]","[53145.6471999939,52722.721599994096]","[13.020317876372623,13.020317876372623]","[49.56616639636249,49.56616639636249]","[4515.0,4784.0]","[true,true]","[9.0,9.0]","[7.142682758057917,6.8354705964210165]","[3980.0,4249.0]","[true,true]","[10.0,10.0]","[249.0,249.0]"
20000,20000,7.0829938137808774,52.513958709474174,56.62208751333105,0.03964985728874308,12.016316300396856,47291.2951999965,44.0,1,"[0.03964985728874308]","[63.2]","[52.513958709474174]","[10.0]","[2.0]","[5.0]","[56.62208751333105]","[183.0]","[50.0]","[1163513024]","[2118.696999998734]","[false]","[44.0]","[47291.2951999965]","[7.0829938137808774]","[12.016316300396856]","[1161.0]","[true]","[9.0]","[12.141758451444066]","[626.0]","[true]","[10.0]","[243.0]"
20000,20000,2.346496880375727,51.76128327770998,100.0,0.16128852646896338,5.0,45931.12239999753,41.0,1,"[0.16128852646896338]","[42.730000000000004]","[51.76128327770998]","[10.0]","[2.0]","[5.0]","[100.0]","[788.0]","[50.0]","[-563491276]","[1656.521199999821]","[false]","[41.0]","[45931.12239999753]","[2.346496880375727]","[5.0]","[462.0]","[true]","[9.0]","[38.78121499374372]","[-73.0]","[true]","[10.0]","[211.0]"
20000,20000,4.027354337138585,21.32653608358492,75.84649934776984,0.8549350381010418,21.513619859166873,48188.22799999591,24.0,2,"[0.8549350381010418,0.8549350381010418]","[76.03,72.78]","[21.32653608358492,21.32653608358492]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[75.84649934776984,75.84649934776984]","[432.0,436.0]","[50.0,50.0]","[1455025458,-326126669]","[4313.390399997639,3558.622199998259]","[false,false]","[24.0,43.0]","[49649.3119999954,48188.22799999591]","[4.027354337138585,4.027354337138585]","[21.513619859166873,21.513619859166873]","[2159.0,1973.0]","[true,true]","[9.0,9.0]","[22.59547891300149,22.59547891300149]","[1624.0,1438.0]","[true,true]","[10.0,10.0]","[241.0,240.0]"
20000,20000,15.751180720859171,67.13854974845374,61.777403323667286,0.023019824294013794,36.420121855179445,50530.719999995585,19.0,1,"[0.023019824294013794]","[68.7]","[67.13854974845374]","[10.0]","[2.0]","[5.0]","[61.777403323667286]","[106.0]","[50.0]","[-2112441757]","[5238.430599997904]","[false]","[19.0]","[50530.719999995585]","[15.751180720859171]","[36.420121855179445]","[2046.0]","[true]","[9.0]","[5.84083197510172]","[1511.0]","[true]","[10.0]","[249.0]"
20000,20000,4.245467877951714,65.6447877853966,19.71893337447251,0.4189405623298613,13.901144055732027,43648.72639999833,51.0,1,"[0.4189405623298613]","[26.77]","[65.6447877853966]","[10.0]","[2.0]","[5.0]","[19.71893337447251]","[129.0]","[50.0]","[-1910581564]","[-1622.4667999992016]","[false]","[51.0]","[43648.72639999833]","[4.245467877951714]","[13.901144055732027]","[161.0]","[true]","[9.0]","[21.434622193845037]","[-374.0]","[true]","[10.0]","[81.0]"
20000,20000,10.402188279772968,93.35174741236077,15.519513919101716,0.3926529814006973,11.40703232297155,43793.958399998126,41.0,2,"[0.3926529814006973,0.3926529814006973]","[60.84,29.849999999999998]","[93.35174741236077,93.35174741236077]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[15.519513919101716,15.519513919101716]","[103.0,77.0]","[50.0,50.0]","[-2061740284,-1849810075]","[2436.3919999989375,-1602.9981999995507]","[false,false]","[41.0,48.0]","[47202.15279999663,43793.958399998126]","[10.402188279772968,10.402188279772968]","[11.40703232297155,11.40703232297155]","[1127.0,208.0]","[true,true]","[9.0,9.0]","[8.459758430936672,8.748159286536785]","[592.0,-327.0]","[true,true]","[10.0,10.0]","[242.0,115.0]"
20000,20000,12.149325970003021,22.35049600906851,89.31350174901675,0.8769329963346533,50.0,52433.25919999413,34.0,2,"[0.8769329963346533,0.8769329963346533]","[90.29,90.42999999999999]","[22.35049600906851,22.35049600906851]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[89.31350174901675,89.31350174901675]","[100.0,100.0]","[50.0,50.0]","[-1820765438,-1723180997]","[6747.4661999963355,7871.261399996409]","[false,false]","[51.0,34.0]","[52433.25919999413,52511.38399999415]","[12.149325970003021,12.149325970003021]","[50.0,50.0]","[4368.0,4329.0]","[true,true]","[9.0,9.0]","[7.737054733084639,7.243200175653705]","[3833.0,3794.0]","[true,true]","[10.0,10.0]","[249.0,249.0]"
20000,20000,20.0,30.176029227931263,100.0,1.0,43.72907362945289,51566.87519999447,29.0,3,"[1.0,1.0,1.0]","[89.18,89.8,91.05]","[30.176029227931263,30.176029227931263,30.176029227931263]","[10.0,10.0,10.0]","[2.0,2.0,2.0]","[5.0,5.0,5.0]","[100.0,100.0,100.0]","[39.0,46.0,55.0]","[50.0,50.0,50.0]","[1486720141,-1743322621,1922536523]","[6555.847599996763,6963.185799996369,7085.380999996436]","[false,false,false]","[41.0,39.0,29.0]","[51566.87519999447,52510.883199994154,51813.7695999942]","[20.0,20.0,20.0]","[43.72907362945289,43.72907362945289,43.72907362945289]","[4456.0,4607.0,4576.0]","[true,true,true]","[9.0,9.0,9.0]","[4.5,4.55,4.7]","[3921.0,4072.0,4041.0]","[true,true,true]","[10.0,10.0,10.0]","[250.0,250.0,250.0]"
20000,20000,7.600255946396914,42.056243110295405,56.90511221890858,0.0,17.126798156414388,47622.82479999672,32.0,2,"[0.0,0.0]","[55.81,59.63]","[42.056243110295405,42.056243110295405]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[56.90511221890858,56.90511221890858]","[176.0,196.0]","[50.0,50.0]","[1531566491,-1176436990]","[2964.3603999990664,2512.3883999989775]","[false,false]","[32.0,38.0]","[47622.82479999672,48383.539999996654]","[7.600255946396914,7.600255946396914]","[17.126798156414388,17.126798156414388]","[1019.0,1127.0]","[true,true]","[9.0,9.0]","[12.10485550076966,11.710131951831517]","[484.0,592.0]","[true,true]","[10.0,10.0]","[241.0,240.0]"
20000,20000,13.211074061546176,45.02041039384525,62.84969269193199,0.3681399377003403,15.80606962173925,48824.99519999591,39.0,4,"[0.3681399377003403,0.3681399377003403,0.3681399377003403,0.3681399377003403]","[68.8,69.28,70.67999999999999,69.61]","[45.02041039384525,45.02041039384525,45.02041039384525,45.02041039384525]","[10.0,10.0,10.0,10.0]","[2.0,2.0,2.0,2.0]","[5.0,5.0,5.0,5.0]","[62.84969269193199,62.84969269193199,62.84969269193199,62.84969269193199]","[96.0,82.0,90.0,113.0]","[50.0,50.0,50.0,50.0]","[292275926,-266196337,2145915558,-168224453]","[4886.430799998016,4642.228199998201,4076.887599998132,3907.304199998216]","[false,false,false,false]","[39.0,46.0,39.0,48.0]","[49353.08879999584,49208.35759999592,48824.99519999591,49082.9071999959]","[13.211074061546176,13.211074061546176,13.211074061546176,13.211074061546176]","[15.80606962173925,15.80606962173925,15.80606962173925,15.80606962173925]","[1668.0,1770.0,1771.0,1690.0]","[true,true,true,true]","[9.0,9.0,9.0,9.0]","[6.736772467202698,6.888160612533095,6.963854685198294,6.812466539867897]","[1133.0,1235.0,1236.0,1155.0]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[248.0,250.0,249.0,249.0]"
20000,20000,6.841978640611845,17.744659884152018,27.04858621092266,1.0,11.401273753805887,42318.100799998065,38.0,2,"[1.0,1.0]","[34.56,29.580000000000002]","[17.744659884152018,17.744659884152018]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[27.04858621092266,27.04858621092266]","[195.0,205.0]","[50.0,50.0]","[2130434886,44048114]","[-917.0899999997564,-2881.477999999639]","[false,false]","[38.0,55.0]","[44048.114399997976,42318.100799998065]","[6.841978640611845,6.841978640611845]","[11.401273753805887,11.401273753805887]","[349.0,255.0]","[true,true]","[9.0,9.0]","[13.15408958832291,13.592559241267006]","[-186.0,-280.0]","[true,true]","[10.0,10.0]","[227.0,214.0]"
20000,20000,2.205308303546521,26.107194860943377,61.903369125385794,0.085741175692851,24.03389118530601,49340.06799999613,43.0,1,"[0.085741175692851]","[62.839999999999996]","[26.107194860943377]","[10.0]","[2.0]","[5.0]","[61.903369125385794]","[769.0]","[50.0]","[1051144590]","[4239.83539999849]","[false]","[43.0]","[49340.06799999613]","[2.205308303546521]","[24.03389118530601]","[1168.0]","[true]","[9.0]","[40.81062038140621]","[633.0]","[true]","[10.0]","[197.0]"
20000,20000,1.0,69.99176641215516,36.894308880451604,0.686788811330066,36.09794092428319,43371.28319999831,55.0,1,"[0.686788811330066]","[26.69]","[69.99176641215516]","[10.0]","[2.0]","[5.0]","[36.894308880451604]","[271.0]","[50.0]","[1584660314]","[-2020.2897999992201]","[false]","[55.0]","[43371.28319999831]","[1.0]","[36.09794092428319]","[154.0]","[true]","[9.0]","[91.0]","[-381.0]","[true]","[10.0]","[37.0]"
20000,20000,9.556504013140174,57.47904224470698,12.976683724360493,0.373033284885033,45.84979636343404,47982.14879999628,32.0,2,"[0.373033284885033,0.373033284885033]","[84.92,70.74000000000001]","[57.47904224470698,57.47904224470698]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[12.976683724360493,12.976683724360493]","[154.0,100.0]","[50.0,50.0]","[-1062866028,460481582]","[7877.45879999669,2212.722199998614]","[false,false]","[32.0,42.0]","[52751.26719999449,47982.14879999628]","[9.556504013140174,9.556504013140174]","[45.84979636343404,45.84979636343404]","[2922.0,2326.0]","[true,true]","[9.0,9.0]","[9.417669879722771,9.313029103281407]","[2387.0,1791.0]","[true,true]","[10.0,10.0]","[242.0,244.0]"
20000,20000,3.8100610112963205,88.60283490782153,90.3071846761589,0.1058660949475364,5.0,46646.264799997356,45.0,1,"[0.1058660949475364]","[46.46]","[88.60283490782153]","[10.0]","[2.0]","[5.0]","[90.3071846761589]","[582.0]","[50.0]","[-185806453]","[1243.3611999996501]","[false]","[45.0]","[46646.264799997356]","[3.8100610112963205]","[5.0]","[545.0]","[true]","[9.0]","[23.884131968017623]","[10.0]","[true]","[10.0]","[210.0]"
20000,20000,7.643716705904337,43.54960911206312,78.24816474667372,0.17452826671584187,12.4967494299973,47350.13919999627,46.0,2,"[0.17452826671584187,0.17452826671584187]","[67.97999999999999,69.36]","[43.54960911206312,43.54960911206312]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[78.24816474667372,78.24816474667372]","[202.0,192.0]","[50.0,50.0]","[245912530,-1389419564]","[3934.2847999984515,2229.311199998534]","[false,false]","[46.0,50.0]","[49463.26479999609,47350.13919999627]","[7.643716705904337,7.643716705904337]","[12.4967494299973,12.4967494299973]","[1414.0,1528.0]","[true,true]","[9.0,9.0]","[11.905203123201527,12.036029531148797]","[879.0,993.0]","[true,true]","[10.0,10.0]","[245.0,247.0]"
20000,20000,12.482115120683043,31.779229204823658,48.20504910522942,0.3991423203846321,37.179542836755594,52874.46399999461,39.0,1,"[0.3991423203846321]","[83.87]","[31.779229204823658]","[10.0]","[2.0]","[5.0]","[48.20504910522942]","[96.0]","[50.0]","[-1685515489]","[7268.924199996865]","[false]","[39.0]","[52874.46399999461]","[12.482115120683043]","[37.179542836755594]","[2938.0]","[true]","[9.0]","[7.050087196694953]","[2403.0]","[true]","[10.0]","[250.0]"
20000,20000,10.471864275957138,100.0,12.964753864983829,0.005062116793630585,15.776503136930689,43883.10079999757,46.0,1,"[0.005062116793630585]","[41.15]","[100.0]","[10.0]","[2.0]","[5.0]","[12.964753864983829]","[82.0]","[50.0]","[400386393]","[-251.71460000013758]","[false]","[46.0]","[43883.10079999757]","[10.471864275957138]","[15.776503136930689]","[524.0]","[true]","[9.0]","[8.785446179934482]","[-11.0]","[true]","[10.0]","[227.0]"
20000,20000,6.2387656441995265,43.77979769709353,68.86894004426769,0.14113111943080492,10.468747822186774,47720.98159999654,34.0,1,"[0.14113111943080492]","[64.48]","[43.77979769709353]","[10.0]","[2.0]","[5.0]","[68.86894004426769]","[256.0]","[50.0]","[1361907730]","[2473.0755999988614]","[false]","[34.0]","[47720.98159999654]","[6.2387656441995265]","[10.468747822186774]","[1267.0]","[true]","[9.0]","[14.906794918072691]","[732.0]","[true]","[10.0]","[241.0]"
20000,20000,9.436240317756887,55.41071812816786,95.92149663041953,0.3230444022397818,18.47517684805006,51622.21359999494,36.0,1,"[0.3230444022397818]","[77.53999999999999]","[55.41071812816786]","[10.0]","[2.0]","[5.0]","[95.92149663041953]","[129.0]","[50.0]","[90538051]","[6848.752999997079]","[false]","[36.0]","[51622.21359999494]","[9.436240317756887]","[18.47517684805006]","[2330.0]","[true]","[9.0]","[10.385492176962257]","[1795.0]","[true]","[10.0]","[250.0]"
