evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_delatMil,objective$om_trees,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,om_delatMil,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbChampsVisités,om_delatArbres,nbCoupeurs,om_caughtCutter
2820,9254,39.003404595453745,0.6043844934020828,3.2864172828340545,23.297806263049104,71.32551280078437,20.0,54.99857142857155,2709.0,1,"[0.6043844934020828]","[82.15]","[39.003404595453745]","[23.297806263049104]","[3.2864172828340545]","[5.0]","[71.32551280078437]","[false]","[1308.0]","[-986048939]","[54.99857142857155]","[true]","[24.0]","[51309.2135999949]","[false]","[8.0]","[35.0]","[2709.0]","[8396.0]","[40.0]","[20.0]","[true]","[5.0]","[2174.0]","[10.0]","[250.0]"
2820,9254,57.47665055834805,0.5626916185213497,4.172772780598773,25.154400839330684,21.54641862833259,69.35801172482553,252.3781211180123,3317.0,8,"[0.5626916185213497,0.5626916185213497,0.5626916185213497,0.5626916185213497,0.5626916185213497,0.5626916185213497,0.5626916185213497,0.5626916185213497]","[88.37,84.85000000000001,87.56,87.08,85.56,85.55,86.05000000000001,84.21]","[57.47665055834805,57.47665055834805,57.47665055834805,57.47665055834805,57.47665055834805,57.47665055834805,57.47665055834805,57.47665055834805]","[25.154400839330684,25.154400839330684,25.154400839330684,25.154400839330684,25.154400839330684,25.154400839330684,25.154400839330684,25.154400839330684]","[4.172772780598773,4.172772780598773,4.172772780598773,4.172772780598773,4.172772780598773,4.172772780598773,4.172772780598773,4.172772780598773]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[21.54641862833259,21.54641862833259,21.54641862833259,21.54641862833259,21.54641862833259,21.54641862833259,21.54641862833259,21.54641862833259]","[false,false,false,false,false,false,false,false]","[680.0,910.0,917.0,874.0,1003.0,858.0,796.0,989.0]","[424783561,-312479904,1881606984,-528531330,637403032,-159730781,-955415760,-1084004076]","[401.4065306122448,422.9971428571429,397.6460869565218,122.00195652173898,-62.27052631578954,-407.1063736263737,-759.5027368421052,382.75428571428563]","[true,true,true,true,true,true,true,true]","[23.0,28.0,38.0,32.0,37.0,25.0,30.0,37.0]","[50894.300799994424,51476.48079999464,51970.51999999438,52384.43119999429,51160.475999994655,51223.326399994556,51779.214399994504,51447.68479999477]","[false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[3935.0,3312.0,3231.0,3609.0,3042.0,3322.0,3409.0,3023.0]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[69.35801172482553,69.35801172482553,69.35801172482553,69.35801172482553,69.35801172482553,69.35801172482553,69.35801172482553,69.35801172482553]","[true,true,true,true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[3400.0,2777.0,2696.0,3074.0,2507.0,2787.0,2874.0,2488.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[257.0,257.0,258.0,250.0,262.0,256.0,263.0,257.0]"
2820,9254,80.0,0.5544854990208203,4.495129777381894,5.0,80.0,79.70162296073765,323.478695652174,5225.0,9,"[0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203,0.5544854990208203]","[92.23,91.93,91.67,93.36,91.86,91.64999999999999,93.93,90.41,91.67]","[80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894,4.495129777381894]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0]","[false,false,false,false,false,false,false,false,false]","[105.0,117.0,114.0,111.0,131.0,131.0,104.0,127.0,132.0]","[-209751522,-1458003422,1005462844,-1542621175,38430961,344833026,-117632217,-1064906944,-627670989]","[346.90833333333353,323.478695652174,334.7452631578948,412.89075268817203,-173.42263736263754,99.6731111111111,-289.81736263736275,360.2465263157893,201.76461538461535]","[true,true,true,true,true,true,true,true,true]","[24.0,37.0,36.0,26.0,38.0,39.0,28.0,40.0,41.0]","[52245.45919999409,52033.6207999942,51442.67679999421,52185.61359999402,54020.79519999373,54038.07279999381,53146.14799999389,52148.05359999417,53087.55439999391]","[false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[5457.0,5146.0,5139.0,5249.0,5227.0,5106.0,5236.0,5198.0,5225.0]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765,79.70162296073765]","[true,true,true,true,true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[4922.0,4611.0,4604.0,4714.0,4692.0,4571.0,4701.0,4663.0,4690.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[294.0,277.0,284.0,281.0,290.0,284.0,273.0,280.0,278.0]"
2820,9254,22.936732543026853,0.4042950196703835,4.0769559153053265,29.248193538303084,30.158094775683615,28.457036189196778,339.3060674157304,2048.5,4,"[0.4042950196703835,0.4042950196703835,0.4042950196703835,0.4042950196703835]","[78.02,76.42,74.26,79.73]","[22.936732543026853,22.936732543026853,22.936732543026853,22.936732543026853]","[29.248193538303084,29.248193538303084,29.248193538303084,29.248193538303084]","[4.0769559153053265,4.0769559153053265,4.0769559153053265,4.0769559153053265]","[5.0,5.0,5.0,5.0]","[30.158094775683615,30.158094775683615,30.158094775683615,30.158094775683615]","[false,false,false,false]","[1514.0,1512.0,1457.0,1425.0]","[-159582135,-268507301,1226704058,1885210184]","[307.65438202247196,262.63865168539337,370.95775280898886,388.321935483871]","[true,true,true,true]","[36.0,38.0,47.0,18.0]","[50794.39119999518,51534.57359999505,49289.487199995565,50942.37759999499]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[2045.0,2008.0,2052.0,2092.0]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[28.457036189196778,28.457036189196778,28.457036189196778,28.457036189196778]","[true,true,true,true]","[5.0,5.0,5.0,5.0]","[1510.0,1473.0,1517.0,1557.0]","[10.0,10.0,10.0,10.0]","[232.0,228.0,238.0,233.0]"
2820,9254,69.01856641317703,0.49847071929682174,3.5306866143527493,24.413897979850486,27.111918618660987,59.63318001274118,170.51979166666672,2633.0,6,"[0.49847071929682174,0.49847071929682174,0.49847071929682174,0.49847071929682174,0.49847071929682174,0.49847071929682174]","[83.0,83.89,85.8,79.23,81.14,87.1]","[69.01856641317703,69.01856641317703,69.01856641317703,69.01856641317703,69.01856641317703,69.01856641317703]","[24.413897979850486,24.413897979850486,24.413897979850486,24.413897979850486,24.413897979850486,24.413897979850486]","[3.5306866143527493,3.5306866143527493,3.5306866143527493,3.5306866143527493,3.5306866143527493,3.5306866143527493]","[5.0,5.0,5.0,5.0,5.0,5.0]","[27.111918618660987,27.111918618660987,27.111918618660987,27.111918618660987,27.111918618660987,27.111918618660987]","[false,false,false,false,false,false]","[1413.0,1128.0,1188.0,1546.0,1438.0,1018.0]","[-1364348168,1683673831,756965334,285768756,880520016,-1915107101]","[40.494375000000105,369.2109278350515,300.54520833333333,-129.67142857142875,357.3584946236558,-1171.708695652174]","[true,true,true,true,true,true]","[20.0,31.0,38.0,37.0,41.0,39.0]","[51377.32239999491,51163.731199994785,50973.427199994716,50420.04319999517,51262.63919999511,49700.14319999485]","[false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0]","[2647.0,2619.0,3035.0,2420.0,2563.0,3236.0]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0]","[59.63318001274118,59.63318001274118,59.63318001274118,59.63318001274118,59.63318001274118,59.63318001274118]","[true,true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0,5.0]","[2112.0,2084.0,2500.0,1885.0,2028.0,2701.0]","[10.0,10.0,10.0,10.0,10.0,10.0]","[243.0,254.0,251.0,253.0,244.0,264.0]"
2820,9254,24.696522771314733,0.4794121634056379,1.175167291199232,22.114988442680794,55.20259913609016,46.895740989901846,236.67068181818206,1188.0,9,"[0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379,0.4794121634056379]","[69.39,28.24,29.24,74.45,26.76,26.56,68.46,63.68000000000001,71.00999999999999]","[24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733,24.696522771314733]","[22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794,22.114988442680794]","[1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232,1.175167291199232]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016,55.20259913609016]","[false,false,false,false,false,false,false,false,false]","[1405.0,2227.0,2130.0,1347.0,2300.0,2081.0,1484.0,1545.0,1416.0]","[-1499252379,-1602578859,-854898641,-885116785,-1173921080,-274069586,259082737,-1871294582,54702422]","[403.06322580645144,344.56357894736834,397.3739130434783,414.4253191489363,-966.6720454545455,236.67068181818206,-255.07780219780227,188.96945054945058,-827.1277419354839]","[true,true,true,true,true,true,true,true,true]","[39.0,45.0,46.0,26.0,51.0,49.0,39.0,40.0,38.0]","[48503.73199999562,43622.935199998254,43864.07039999814,48630.93519999572,43197.00479999829,42845.19279999805,48590.370399996194,48892.60319999645,48920.39759999589]","[false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[1569.0,171.0,203.0,1882.0,161.0,175.0,1458.0,1188.0,1518.0]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846,46.895740989901846]","[true,true,true,true,true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[1034.0,-364.0,-332.0,1347.0,-374.0,-360.0,923.0,653.0,983.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[191.0,165.0,147.0,198.0,106.0,168.0,192.0,204.0,197.0]"
2820,9254,28.995741246650542,0.7290909480084822,4.40580455968677,24.19055336272381,62.64795373725231,62.9579761091151,-107.3554022988506,4303.0,11,"[0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822,0.7290909480084822]","[90.03,89.53,90.14,90.0,90.18,89.25,90.01,88.89,88.87,89.7,88.42999999999999]","[28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542,28.995741246650542]","[24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381,24.19055336272381]","[4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677,4.40580455968677]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231,62.64795373725231]","[false,false,false,false,false,false,false,false,false,false,false]","[505.0,553.0,500.0,481.0,533.0,559.0,586.0,689.0,551.0,555.0,563.0]","[-700448930,-1971455643,622758822,33426564,126389677,1968630869,-995756021,989733156,1289487515,1115342898,1938905193]","[-512.8931818181819,258.6997752808988,-214.8614583333333,414.8427956989249,337.37404255319154,-98.7688888888888,-451.47670329670336,-244.74580645161296,-505.2026373626374,-107.3554022988506,125.62681818181801]","[true,true,true,true,true,true,true,true,true,true,true]","[28.0,30.0,39.0,34.0,42.0,38.0,38.0,28.0,34.0,35.0,28.0]","[52145.29919999434,53192.72239999409,52162.32639999428,51124.167999994344,51423.64639999433,52592.5135999942,51074.33839999452,52377.920799994325,52631.32559999417,50880.779199994526,52052.150399994396]","[false,false,false,false,false,false,false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0]","[4384.0,4332.0,4495.0,4219.0,4421.0,4238.0,4303.0,4016.0,4267.0,4156.0,4480.0]","[8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151,62.9579761091151]","[true,true,true,true,true,true,true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[3849.0,3797.0,3960.0,3684.0,3886.0,3703.0,3768.0,3481.0,3732.0,3621.0,3945.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[255.0,246.0,255.0,257.0,258.0,253.0,246.0,252.0,262.0,253.0,250.0]"
2820,9254,38.88306969468545,0.2208210615509142,5.0,21.386592453138658,47.17160716506144,54.90642939540534,147.64276595744673,3090.0,3,"[0.2208210615509142,0.2208210615509142,0.2208210615509142]","[85.84,82.45,86.39]","[38.88306969468545,38.88306969468545,38.88306969468545]","[21.386592453138658,21.386592453138658,21.386592453138658]","[5.0,5.0,5.0]","[5.0,5.0,5.0]","[47.17160716506144,47.17160716506144,47.17160716506144]","[false,false,false]","[842.0,1056.0,895.0]","[-818646030,-911807037,-500366543]","[131.38886363636374,147.64276595744673,253.2944086021506]","[true,true,true]","[37.0,39.0,34.0]","[52366.15199999457,50660.176799994944,51174.74879999468]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[3412.0,2741.0,3090.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[54.90642939540534,54.90642939540534,54.90642939540534]","[true,true,true]","[5.0,5.0,5.0]","[2877.0,2206.0,2555.0]","[10.0,10.0,10.0]","[251.0,249.0,246.0]"
2820,9254,67.37933799974155,0.4744488996957045,3.4056697522620905,17.781222591190588,55.99235083256776,29.286884638223725,-499.7566666666667,2092.0,5,"[0.4744488996957045,0.4744488996957045,0.4744488996957045,0.4744488996957045,0.4744488996957045]","[77.81,78.06,80.16,81.49,75.3]","[67.37933799974155,67.37933799974155,67.37933799974155,67.37933799974155,67.37933799974155]","[17.781222591190588,17.781222591190588,17.781222591190588,17.781222591190588,17.781222591190588]","[3.4056697522620905,3.4056697522620905,3.4056697522620905,3.4056697522620905,3.4056697522620905]","[5.0,5.0,5.0,5.0,5.0]","[55.99235083256776,55.99235083256776,55.99235083256776,55.99235083256776,55.99235083256776]","[false,false,false,false,false]","[1521.0,1422.0,1441.0,1217.0,1348.0]","[581051577,-1669500497,191007553,1888326663,-1319067127]","[199.25446808510648,-499.7566666666667,-1153.6687640449438,-1116.7839999999999,-126.27698924731209]","[true,true,true,true,true]","[44.0,39.0,33.0,41.0,42.0]","[51100.880799995175,50605.839999995274,50738.05119999513,50912.329599995,49251.676799995534]","[false,false,false,false,false]","[8.0,8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0,35.0]","[1967.0,2092.0,2340.0,2300.0,1752.0]","[8396.0,8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0,40.0]","[29.286884638223725,29.286884638223725,29.286884638223725,29.286884638223725,29.286884638223725]","[true,true,true,true,true]","[5.0,5.0,5.0,5.0,5.0]","[1432.0,1557.0,1805.0,1765.0,1217.0]","[10.0,10.0,10.0,10.0,10.0]","[212.0,226.0,243.0,248.0,224.0]"
2820,9254,22.011947259610515,0.7399955254273232,4.459330046927535,23.214833463309628,62.14091913304975,62.049142891592645,417.2395505617977,3893.0,3,"[0.7399955254273232,0.7399955254273232,0.7399955254273232]","[88.73,87.57000000000001,89.5]","[22.011947259610515,22.011947259610515,22.011947259610515]","[23.214833463309628,23.214833463309628,23.214833463309628]","[4.459330046927535,4.459330046927535,4.459330046927535]","[5.0,5.0,5.0]","[62.14091913304975,62.14091913304975,62.14091913304975]","[false,false,false]","[672.0,677.0,607.0]","[389900143,614006273,-1516277127]","[423.35887640449414,417.2395505617977,376.99851063829794]","[true,true,true]","[28.0,39.0,33.0]","[51822.28319999437,51083.102399994554,51837.05679999428]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[3844.0,3893.0,4209.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[62.049142891592645,62.049142891592645,62.049142891592645]","[true,true,true]","[5.0,5.0,5.0]","[3309.0,3358.0,3674.0]","[10.0,10.0,10.0]","[250.0,248.0,252.0]"
