"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 11:06:34:721 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"60","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1312","84","109"
"58","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1689","94","135"
"59","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1811","89","118"
"63","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1436","84","209"
"61","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","225","976","90","240"
"62","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1650","93","173"
"64","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1532","87","172"
"67","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1583","84","253"
"66","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1068","89","313"
"65","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1679","90","193"
"69","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","190","259","41","293"
"70","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","229","1107","87","295"
"68","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1333","91","272"
"71","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","917","88","414"
"72","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","209","795","84","320"
"75","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","82","232","0","170"
"73","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","122","198","0","184"
"74","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","197","568","71","309"
"76","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1808","90","15"
"79","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1283","78","41"
"77","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1761","93","27"
"78","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1737","91","20"
"80","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1774","90","22"
"81","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1617","82","81"
"82","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1472","86","67"
"84","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1729","83","82"
"83","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1878","90","67"
"86","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1807","92","122"
"85","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1703","92","53"
"87","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1639","94","141"
"88","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1615","86","111"
"89","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1524","89","130"
"90","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1051","83","107"
"92","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","226","1151","91","156"
"91","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1238","93","211"
"93","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1551","90","164"
"94","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1313","83","162"
"95","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1728","91","161"
"96","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","223","528","54","304"
"97","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1382","87","219"
"98","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1425","84","187"
"100","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1330","88","229"
"99","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1095","95","218"
"101","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","2011","89","0"
"102","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1505","92","2"
"104","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1808","87","8"
"103","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","2179","93","10"
"106","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1625","88","29"
"105","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","2038","89","0"
"110","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1778","86","48"
"107","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1942","91","44"
"109","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1658","88","47"
"108","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1770","91","31"
"111","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1980","84","101"
"112","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1797","87","82"
"114","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1362","86","74"
"113","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1919","92","71"
"117","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1668","89","107"
"115","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1660","89","58"
"116","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1494","93","140"
"118","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1715","87","110"
"119","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1459","88","105"
"120","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1532","85","101"
"122","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1626","94","169"
"121","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","228","818","93","174"
"123","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1421","90","166"
"126","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1895","89","8"
"124","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1305","88","166"
"125","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1370","90","183"
"127","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1733","89","9"
"128","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","2001","86","0"
"129","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1879","90","10"
"131","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1871","88","16"
"132","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","2013","88","22"
"130","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1734","94","8"
"133","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1867","89","23"
"134","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1740","87","24"
"135","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1893","86","7"
"136","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1978","92","51"
"138","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1631","86","41"
"137","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1955","93","46"
"141","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1603","83","98"
"140","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1717","91","52"
"143","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1660","86","97"
"139","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","230","1894","91","36"
"142","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1822","90","64"
"144","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1374","90","76"
"145","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","230","1444","92","64"
"147","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1585","88","143"
"148","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1329","88","123"
"146","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1583","93","136"
"150","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1379","88","110"
"149","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","230","1321","91","116"
