"tpsAuChamp","qPrésenceBrousse","fréquenceRéu","participants","probaDiscu","probaDenonce","objective.om_delatMil","objective.om_trees","evolution.samples"
57.8199874085259,0.613110159174388,3.15865763342226,21.1762396631893,25.4234269712698,55.0837202997773,240.370537634408,108,1
62.2508637488068,0.8,1.10585364172047,24.0414423187718,50.8806137717305,20,78.2843956043955,117,1
76.4815520345866,0.487285340217318,1.95858016530793,22.5698280700724,37.37746198842,42.7654626781087,196.668815911193,171.5,2
24.3217228111524,0.668074972079731,3.28022596716327,14.1918543244786,50.5832855970278,20.7132582767022,118.401505376344,127,1
55.5602767798757,0.363244459806923,1.3943714156435,30,20,34.1081393990651,405.977473684211,125,1
21.8009445650319,0.623810300771834,4.22288842453434,6.04306231401841,29.6950101665822,23.1900557897124,401.159363893605,182.5,2
62.2508637488068,0.599899902672623,1.10585364172047,24.8977644449079,50.8806137717305,23.8978519354504,31.4159402395357,185.5,2
37.2607798239026,0.739994919890785,1.22754739284252,10.673206146204,49.7264674992733,78.405647640507,204.603157894737,138,1
61.4216266422959,0.218493555125496,4.75639498631749,7.86108054564284,29.6960348429874,33.8981230863127,14.7765116279068,151,1
63.2402899532162,0.65555954403306,1.46150934630211,14.5882049171587,23.0528998190883,63.1072172346048,272.623,188,2
80,0.8,3.51034553654786,5,20,49.2728905302298,429.575111111111,136,1
25.665295226186,0.428710083706493,1.87136301834991,14.3767834190064,22.3613148413531,47.882060429284,187.669583333333,145,1
20.4844412599694,0.2,5,26.07649745913,27.926050371564,20,95.0321276595744,154,1
57.051636041308,0.474870426632812,2.0053383761005,5.46902091783916,20,22.9265949193539,102.890425531915,151,1
28.6610166556325,0.570688961345281,3.2236557155978,14.5190933977413,45.0224267072273,26.0149531993034,148.025580949949,238.5,2
77.9852287728982,0.631756116146348,4.60653694207077,7.86108054564284,29.6960348429874,33.8981230863127,167.810681818182,155,1
61.4947395484785,0.764736763868499,4.25739570124277,5,38.5890503675051,49.9859827332525,209.988222222222,155,1
57.8199874085259,0.8,3.35071410963698,21.1762396631893,20,42.3197493572808,391.597777777778,155,1
27.9403882393687,0.408528381154658,1.50526280956547,6.92386884331723,45.1016453256732,51.3155282170321,82.7262365591397,162,1
32.9689732990853,0.656944359296735,1.60157658105376,11.862956331335,56.3268776083402,47.3250639545703,396.374945054945,155,1
58.4287528771731,0.563166508971964,2.08383080227456,12.0366602865653,20.7248682048994,77.4660886517271,303.504494382022,156,1
23.1326061613998,0.568787717534868,2.88692141823722,18.4696378131458,20,20.4848530456995,402.273043478261,156,1
57.32431956276,0.460515100427408,2.01505375250458,21.8799000289865,35.1981430561083,77.7661674481377,1.83717391304333,166,1
48.585132837035,0.8,2.08383080227456,6.54102818760056,20.7248682048994,77.4660886517271,236.153103448276,162,1
26.7550270555353,0.438762308640903,2.12389833907148,10.1302568180318,33.5910037392265,79.9416841236116,420.741555555556,160,1
78.1317608948824,0.483608727739596,1.74530580755937,27.4751781966229,32.6238795959438,33.0531215042848,213.321538461538,163,1
42.6868633949034,0.594454334627763,4.20377978969099,12.1087657936834,20.4835469565189,77.1742852287505,382.479120879121,163,1
31.7114362790057,0.491791821207201,4.62370765521487,8.09030247471638,29.6960348429874,30.9906586959308,346.817608695652,166,1
25.1742516813359,0.381665548300391,1,19.9680631074693,54.4432308283054,20,217.56829787234,169,1
20.3271660440246,0.50370979955021,5,5.15280211393442,21.9150547838671,70.7157285724477,50.1480434782609,183,1
39.2283617278068,0.702054166464316,2.90219080046792,13.9231667435668,52.2118577980374,61.5077089442386,400.846373626374,169,1
78.172524803433,0.725402576502909,5,11.6125028500156,20,20,356.02085106383,174,1
53.0358670185523,0.274217817761406,1.51483474821363,14.5951579021332,36.6526924444171,37.616957643929,423.122150537634,169,1
44.5107114555344,0.256006607333322,4.33583746764126,5.9144322835352,36.0830100921993,62.9658624152972,432.426888888889,169,1
39.7447704992708,0.768762558712688,4.33583746764126,8.51501335052855,31.1365670530274,62.9658624152972,348.695319148936,176,1
74.5174675226147,0.772119638956364,5,5,20,56.9780941804824,155.841052631579,188,1
61.2887104012709,0.8,1.65239580326405,19.5651499149794,20,56.5611399355213,381.383695652174,182,1
